ip_address,ip_type,service,region
72.200.254.0/24,IPv4,akamai-as26008,global
72.200.255.0/24,IPv4,akamai-as26008,global
74.121.124.0/22,IPv4,akamai-as26008,global
74.121.124.0/24,IPv4,akamai-as26008,global
74.121.125.0/24,IPv4,akamai-as26008,global
81.200.66.0/24,IPv4,akamai-as26008,global
81.200.67.0/24,IPv4,akamai-as26008,global
81.200.69.0/24,IPv4,akamai-as26008,global
199.101.28.0/22,IPv4,akamai-as26008,global
2001:57a:102::/48,IPv6,akamai-as26008,global
2001:57a:103::/48,IPv6,akamai-as26008,global
2620:104:a000::/44,IPv6,akamai-as26008,global
2620:104:a001::/48,IPv6,akamai-as26008,global
2620:104:a003::/48,IPv6,akamai-as26008,global
2620:104:a004::/48,IPv6,akamai-as26008,global
2620:104:a00a::/48,IPv6,akamai-as26008,global
2620:104:a00b::/48,IPv6,akamai-as26008,global
