ip_address,ip_type
23.235.32.0/20,IPv4
43.249.72.0/22,IPv4
103.21.244.0/22,IPv4
103.22.200.0/22,IPv4
103.31.4.0/22,IPv4
103.244.50.0/24,IPv4
103.245.222.0/23,IPv4
103.245.224.0/24,IPv4
104.16.0.0/13,IPv4
104.24.0.0/14,IPv4
104.156.80.0/20,IPv4
108.162.192.0/18,IPv4
131.0.72.0/22,IPv4
140.248.64.0/18,IPv4
140.248.128.0/17,IPv4
141.101.64.0/18,IPv4
146.75.0.0/17,IPv4
151.101.0.0/16,IPv4
157.52.64.0/18,IPv4
162.158.0.0/15,IPv4
167.82.0.0/17,IPv4
167.82.128.0/20,IPv4
167.82.160.0/20,IPv4
167.82.224.0/20,IPv4
172.64.0.0/13,IPv4
172.111.64.0/18,IPv4
173.245.48.0/20,IPv4
185.31.16.0/22,IPv4
188.114.96.0/20,IPv4
190.93.240.0/20,IPv4
197.234.240.0/22,IPv4
198.41.128.0/17,IPv4
199.27.72.0/21,IPv4
199.232.0.0/16,IPv4
2400:cb00::/32,IPv6
2405:8100::/32,IPv6
2405:b500::/32,IPv6
2606:4700::/32,IPv6
2803:f800::/32,IPv6
2a04:4e40::/32,IPv6
2a04:4e42::/32,IPv6
2a06:98c0::/29,IPv6
2c0f:f248::/32,IPv6
