ip_address,ip_type,region
172.225.73.128/26,IPv4,AF
172.225.78.32/27,IPv4,AF
172.225.200.0/28,IPv4,AF
172.226.156.64/27,IPv4,AF
172.226.180.64/27,IPv4,AF
2a02:26f7:cf00:4000::/64,IPv6,AF
2a02:26f7:cf00:d1a0::/64,IPv6,AF
2a02:26f7:cf00:d1a1::/64,IPv6,AF
2a02:26f7:cf00:d1a2::/64,IPv6,AF
2a02:26f7:cf00:d1a3::/64,IPv6,AF
2a02:26f7:cf00:d1a4::/64,IPv6,AF
2a02:26f7:cf00:d1a5::/64,IPv6,AF
2a02:26f7:cf00:d1a6::/64,IPv6,AF
2a02:26f7:cf00:d1a7::/64,IPv6,AF
2a02:26f7:cf00:d1a8::/64,IPv6,AF
2a02:26f7:cf00:d1a9::/64,IPv6,AF
2a02:26f7:cf01:4000::/64,IPv6,AF
2a02:26f7:cf08:4000::/64,IPv6,AF
2a02:26f7:cf08:d1a0::/64,IPv6,AF
2a02:26f7:cf08:d1a1::/64,IPv6,AF
2a02:26f7:cf08:d1a2::/64,IPv6,AF
2a02:26f7:cf08:d1a3::/64,IPv6,AF
2a02:26f7:cf08:d1a4::/64,IPv6,AF
2a02:26f7:cf08:d1a5::/64,IPv6,AF
2a02:26f7:cf08:d1a6::/64,IPv6,AF
2a02:26f7:cf08:d1a7::/64,IPv6,AF
2a02:26f7:cf08:d1a8::/64,IPv6,AF
2a02:26f7:cf08:d1a9::/64,IPv6,AF
2a02:26f7:cf09:4000::/64,IPv6,AF
2a02:26f7:cf09:d1a0::/64,IPv6,AF
2a02:26f7:cf09:d1a1::/64,IPv6,AF
2a02:26f7:cf09:d1a2::/64,IPv6,AF
2a02:26f7:cf09:d1a3::/64,IPv6,AF
2a02:26f7:cf09:d1a4::/64,IPv6,AF
2a02:26f7:cf09:d1a5::/64,IPv6,AF
2a02:26f7:cf09:d1a6::/64,IPv6,AF
2a02:26f7:cf09:d1a7::/64,IPv6,AF
2a02:26f7:cf09:d1a8::/64,IPv6,AF
2a02:26f7:cf09:d1a9::/64,IPv6,AF
2a02:26f7:cf0a:4000::/64,IPv6,AF
2a02:26f7:cf0b:4000::/64,IPv6,AF
2a02:26f7:cf0c:4000::/64,IPv6,AF
2a02:26f7:cf0c:d1a0::/64,IPv6,AF
2a02:26f7:cf0c:d1a1::/64,IPv6,AF
2a02:26f7:cf0c:d1a2::/64,IPv6,AF
2a02:26f7:cf0c:d1a3::/64,IPv6,AF
2a02:26f7:cf0c:d1a4::/64,IPv6,AF
2a02:26f7:cf0c:d1a5::/64,IPv6,AF
2a02:26f7:cf0c:d1a6::/64,IPv6,AF
2a02:26f7:cf0c:d1a7::/64,IPv6,AF
2a02:26f7:cf0c:d1a8::/64,IPv6,AF
2a02:26f7:cf0c:d1a9::/64,IPv6,AF
2a02:26f7:cf0d:4000::/64,IPv6,AF
2a02:26f7:cf10:4000::/64,IPv6,AF
2a02:26f7:cf10:d1a0::/64,IPv6,AF
2a02:26f7:cf10:d1a1::/64,IPv6,AF
2a02:26f7:cf10:d1a2::/64,IPv6,AF
2a02:26f7:cf10:d1a3::/64,IPv6,AF
2a02:26f7:cf10:d1a4::/64,IPv6,AF
2a02:26f7:cf10:d1a5::/64,IPv6,AF
2a02:26f7:cf10:d1a6::/64,IPv6,AF
2a02:26f7:cf10:d1a7::/64,IPv6,AF
2a02:26f7:cf10:d1a8::/64,IPv6,AF
2a02:26f7:cf10:d1a9::/64,IPv6,AF
2a02:26f7:cf11:4000::/64,IPv6,AF
2a04:4e41:404::/48,IPv6,AF
2a04:4e41:d03::/48,IPv6,AF
2a04:4e41:1406::/48,IPv6,AF
2a04:4e41:1807::/48,IPv6,AF
2a04:4e41:5606::/48,IPv6,AF
2a04:4e41:5e03::/48,IPv6,AF
2a04:4e41:7603::/48,IPv6,AF
140.248.34.0/31,IPv4,AF
140.248.36.0/31,IPv4,AF
146.75.132.0/31,IPv4,AF
146.75.160.0/31,IPv4,AF
146.75.169.0/31,IPv4,AF
146.75.205.40/31,IPv4,AF
146.75.214.38/31,IPv4,AF
