ip_address,ip_type,region
172.225.40.0/27,IPv4,AL
172.225.144.0/27,IPv4,AL
172.225.226.0/28,IPv4,AL
2a02:26f7:e240:4000::/64,IPv6,AL
2a02:26f7:e240:d0e0::/64,IPv6,AL
2a02:26f7:e240:d0e1::/64,IPv6,AL
2a02:26f7:e240:d0e2::/64,IPv6,AL
2a02:26f7:e240:d0e3::/64,IPv6,AL
2a02:26f7:e240:d0e4::/64,IPv6,AL
2a02:26f7:e240:d0e5::/64,IPv6,AL
2a02:26f7:e240:d0e6::/64,IPv6,AL
2a02:26f7:e240:d0e7::/64,IPv6,AL
2a02:26f7:e240:d0e8::/64,IPv6,AL
2a02:26f7:e241:4000::/64,IPv6,AL
2a02:26f7:e244:4000::/64,IPv6,AL
2a02:26f7:e244:d0e0::/64,IPv6,AL
2a02:26f7:e244:d0e1::/64,IPv6,AL
2a02:26f7:e244:d0e2::/64,IPv6,AL
2a02:26f7:e244:d0e3::/64,IPv6,AL
2a02:26f7:e244:d0e4::/64,IPv6,AL
2a02:26f7:e244:d0e5::/64,IPv6,AL
2a02:26f7:e244:d0e6::/64,IPv6,AL
2a02:26f7:e244:d0e7::/64,IPv6,AL
2a02:26f7:e244:d0e8::/64,IPv6,AL
2a02:26f7:e245:4000::/64,IPv6,AL
2a02:26f7:e248:4000::/64,IPv6,AL
2a02:26f7:e248:d0e0::/64,IPv6,AL
2a02:26f7:e248:d0e1::/64,IPv6,AL
2a02:26f7:e248:d0e2::/64,IPv6,AL
2a02:26f7:e248:d0e3::/64,IPv6,AL
2a02:26f7:e248:d0e4::/64,IPv6,AL
2a02:26f7:e248:d0e5::/64,IPv6,AL
2a02:26f7:e248:d0e6::/64,IPv6,AL
2a02:26f7:e248:d0e7::/64,IPv6,AL
2a02:26f7:e248:d0e8::/64,IPv6,AL
2a02:26f7:e249:4000::/64,IPv6,AL
2a04:4e41:1305::/48,IPv6,AL
2a04:4e41:1407::/48,IPv6,AL
2a04:4e41:1808::/48,IPv6,AL
2a04:4e41:5607::/48,IPv6,AL
140.248.34.2/31,IPv4,AL
140.248.36.2/31,IPv4,AL
140.248.40.2/31,IPv4,AL
146.75.169.2/31,IPv4,AL
