ip_address,ip_type,region
172.225.84.0/28,IPv4,AQ
172.225.106.0/28,IPv4,AQ
172.225.209.64/28,IPv4,AQ
172.225.222.0/28,IPv4,AQ
2a02:26f7:d9c0:4000::/64,IPv6,AQ
2a02:26f7:d9c0:c040::/64,IPv6,AQ
2a02:26f7:d9c1:4000::/64,IPv6,AQ
2a02:26f7:d9c2:4000::/64,IPv6,AQ
2a02:26f7:d9c2:c040::/64,IPv6,AQ
2a02:26f7:d9c3:4000::/64,IPv6,AQ
2a02:26f7:d9c4:4000::/64,IPv6,AQ
2a02:26f7:d9c4:c040::/64,IPv6,AQ
2a02:26f7:d9c5:4000::/64,IPv6,AQ
2a02:26f7:d9c8:4000::/64,IPv6,AQ
2a02:26f7:d9c8:c040::/64,IPv6,AQ
2a02:26f7:d9c9:4000::/64,IPv6,AQ
104.28.92.69/32,IPv4,AQ
104.28.123.20/32,IPv4,AQ
2606:54c0:68::/45,IPv6,AQ
2606:54c3:0:9b4::/64,IPv6,AQ
2a09:bac2:68::/45,IPv6,AQ
2a09:bac3:68::/45,IPv6,AQ
2a04:4e41:802::/48,IPv6,AQ
2a04:4e41:2a10::/48,IPv6,AQ
2a04:4e41:4802::/48,IPv6,AQ
140.248.0.2/31,IPv4,AQ
140.248.24.0/31,IPv4,AQ
140.248.41.0/31,IPv4,AQ
