ip_address,ip_type,region
172.224.234.0/28,IPv4,AW
172.225.238.32/28,IPv4,AW
172.225.250.0/27,IPv4,AW
172.226.13.160/28,IPv4,AW
172.226.191.224/27,IPv4,AW
2a02:26f7:f880:4000::/64,IPv6,AW
2a02:26f7:f880:c080::/64,IPv6,AW
2a02:26f7:f881:4000::/64,IPv6,AW
2a02:26f7:f882:4000::/64,IPv6,AW
2a02:26f7:f882:c080::/64,IPv6,AW
2a02:26f7:f883:4000::/64,IPv6,AW
2a02:26f7:f884:4000::/64,IPv6,AW
2a02:26f7:f884:c080::/64,IPv6,AW
2a02:26f7:f885:4000::/64,IPv6,AW
2a02:26f7:f88c:4000::/64,IPv6,AW
2a02:26f7:f88c:c080::/64,IPv6,AW
2a02:26f7:f88d:4000::/64,IPv6,AW
2a02:26f7:f890:4000::/64,IPv6,AW
2a02:26f7:f890:c080::/64,IPv6,AW
2a02:26f7:f891:4000::/64,IPv6,AW
104.28.32.80/32,IPv4,AW
104.28.32.81/32,IPv4,AW
104.28.36.108/32,IPv4,AW
104.28.36.109/32,IPv4,AW
104.28.76.57/32,IPv4,AW
104.28.76.58/32,IPv4,AW
104.28.78.57/32,IPv4,AW
104.28.78.58/32,IPv4,AW
104.28.92.114/32,IPv4,AW
104.28.92.115/32,IPv4,AW
104.28.94.114/32,IPv4,AW
104.28.94.115/32,IPv4,AW
104.28.126.116/32,IPv4,AW
104.28.126.117/32,IPv4,AW
2606:54c0:430::/45,IPv6,AW
2606:54c3:0:16bc::/64,IPv6,AW
2a09:bac2:430::/45,IPv6,AW
2a09:bac3:430::/45,IPv6,AW
2a04:4e41:3611::/48,IPv6,AW
2a04:4e41:3a14::/48,IPv6,AW
140.248.4.2/31,IPv4,AW
140.248.44.6/31,IPv4,AW
