ip_address,ip_type,region
172.224.234.16/28,IPv4,BB
172.225.64.128/27,IPv4,BB
172.225.92.16/28,IPv4,BB
172.225.152.96/27,IPv4,BB
172.225.173.0/27,IPv4,BB
2a02:26f7:bf00:4000::/64,IPv6,BB
2a02:26f7:bf00:c0a0::/64,IPv6,BB
2a02:26f7:bf01:4000::/64,IPv6,BB
2a02:26f7:bf02:4000::/64,IPv6,BB
2a02:26f7:bf02:c0a0::/64,IPv6,BB
2a02:26f7:bf03:4000::/64,IPv6,BB
2a02:26f7:bf04:4000::/64,IPv6,BB
2a02:26f7:bf04:c0a0::/64,IPv6,BB
2a02:26f7:bf05:4000::/64,IPv6,BB
2a02:26f7:bf08:4000::/64,IPv6,BB
2a02:26f7:bf08:c0a0::/64,IPv6,BB
2a02:26f7:bf09:4000::/64,IPv6,BB
2a02:26f7:bf0c:4000::/64,IPv6,BB
2a02:26f7:bf0c:c0a0::/64,IPv6,BB
2a02:26f7:bf0d:4000::/64,IPv6,BB
2a04:4e41:3612::/48,IPv6,BB
2a04:4e41:3a15::/48,IPv6,BB
2a04:4e41:3e12::/48,IPv6,BB
2a04:4e41:7012::/48,IPv6,BB
2a04:4e41:7212::/48,IPv6,BB
140.248.4.4/31,IPv4,BB
140.248.12.4/31,IPv4,BB
140.248.44.8/31,IPv4,BB
146.75.232.4/31,IPv4,BB
146.75.248.4/31,IPv4,BB
