ip_address,ip_type,region
172.225.97.0/27,IPv4,BJ
172.225.178.16/28,IPv4,BJ
172.225.212.48/28,IPv4,BJ
172.225.242.32/28,IPv4,BJ
2a02:26f7:f0c0:4000::/64,IPv6,BJ
2a02:26f7:f0c0:cd20::/64,IPv6,BJ
2a02:26f7:f0c0:cd21::/64,IPv6,BJ
2a02:26f7:f0c0:cd22::/64,IPv6,BJ
2a02:26f7:f0c1:4000::/64,IPv6,BJ
2a02:26f7:f0c2:4000::/64,IPv6,BJ
2a02:26f7:f0c2:cd20::/64,IPv6,BJ
2a02:26f7:f0c2:cd21::/64,IPv6,BJ
2a02:26f7:f0c2:cd22::/64,IPv6,BJ
2a02:26f7:f0c3:4000::/64,IPv6,BJ
2a02:26f7:f0c4:4000::/64,IPv6,BJ
2a02:26f7:f0c4:cd20::/64,IPv6,BJ
2a02:26f7:f0c4:cd21::/64,IPv6,BJ
2a02:26f7:f0c4:cd22::/64,IPv6,BJ
2a02:26f7:f0c5:4000::/64,IPv6,BJ
2a02:26f7:f0cc:4000::/64,IPv6,BJ
2a02:26f7:f0cc:cd20::/64,IPv6,BJ
2a02:26f7:f0cc:cd21::/64,IPv6,BJ
2a02:26f7:f0cc:cd22::/64,IPv6,BJ
2a02:26f7:f0cd:4000::/64,IPv6,BJ
2a04:4e41:1306::/48,IPv6,BJ
2a04:4e41:1608::/48,IPv6,BJ
2a04:4e41:4e03::/48,IPv6,BJ
2a04:4e41:7408::/48,IPv6,BJ
140.248.40.6/31,IPv4,BJ
146.75.168.12/31,IPv4,BJ
146.75.174.0/31,IPv4,BJ
146.75.185.12/31,IPv4,BJ
