ip_address,ip_type,region
104.28.149.67/32,IPv4,CL-BI
2a02:26f7:d940:500::/60,IPv6,CL-BI
2a02:26f7:d940:428c::/64,IPv6,CL-BI
2a02:26f7:d940:429d::/64,IPv6,CL-BI
2a02:26f7:d940:42a3::/64,IPv6,CL-BI
2a02:26f7:d940:42b1::/64,IPv6,CL-BI
2a02:26f7:d940:42b2::/64,IPv6,CL-BI
2a02:26f7:d940:42bc::/64,IPv6,CL-BI
2a02:26f7:d944:500::/60,IPv6,CL-BI
2a02:26f7:d944:428c::/64,IPv6,CL-BI
2a02:26f7:d944:429d::/64,IPv6,CL-BI
2a02:26f7:d944:42a3::/64,IPv6,CL-BI
2a02:26f7:d944:42b1::/64,IPv6,CL-BI
2a02:26f7:d944:42b2::/64,IPv6,CL-BI
2a02:26f7:d944:42bc::/64,IPv6,CL-BI
2a02:26f7:d948:500::/60,IPv6,CL-BI
2a02:26f7:d948:428c::/64,IPv6,CL-BI
2a02:26f7:d948:429d::/64,IPv6,CL-BI
2a02:26f7:d948:42a3::/64,IPv6,CL-BI
2a02:26f7:d948:42b1::/64,IPv6,CL-BI
2a02:26f7:d948:42b2::/64,IPv6,CL-BI
2a02:26f7:d948:42bc::/64,IPv6,CL-BI
2a02:26f7:d94c:500::/60,IPv6,CL-BI
2a02:26f7:d94c:428c::/64,IPv6,CL-BI
2a02:26f7:d94c:429d::/64,IPv6,CL-BI
2a02:26f7:d94c:42a3::/64,IPv6,CL-BI
2a02:26f7:d94c:42b1::/64,IPv6,CL-BI
2a02:26f7:d94c:42b2::/64,IPv6,CL-BI
2a02:26f7:d94c:42bc::/64,IPv6,CL-BI
2a09:bac2:d538::/45,IPv6,CL-BI
2a09:bac3:d538::/45,IPv6,CL-BI
