ip_address,ip_type,region
104.28.47.208/32,IPv4,CL-VS
104.28.47.209/32,IPv4,CL-VS
104.28.59.138/32,IPv4,CL-VS
104.28.59.139/32,IPv4,CL-VS
104.28.59.168/32,IPv4,CL-VS
104.28.63.205/32,IPv4,CL-VS
104.28.63.206/32,IPv4,CL-VS
104.28.113.196/32,IPv4,CL-VS
104.28.113.197/32,IPv4,CL-VS
104.28.115.60/32,IPv4,CL-VS
104.28.115.61/32,IPv4,CL-VS
104.28.115.68/32,IPv4,CL-VS
2606:54c0:1e98::/45,IPv6,CL-VS
2606:54c0:1ea0::/45,IPv6,CL-VS
2606:54c3:0:752::/64,IPv6,CL-VS
2606:54c3:0:193e::/64,IPv6,CL-VS
2a09:bac2:1e98::/45,IPv6,CL-VS
2a09:bac2:1ea0::/45,IPv6,CL-VS
2a09:bac3:1e98::/45,IPv6,CL-VS
2a09:bac3:1ea0::/45,IPv6,CL-VS
