ip_address,ip_type,region
104.28.32.6/32,IPv4,CO-ATL
104.28.32.7/32,IPv4,CO-ATL
104.28.36.20/32,IPv4,CO-ATL
104.28.36.21/32,IPv4,CO-ATL
104.28.91.4/32,IPv4,CO-ATL
104.28.91.5/32,IPv4,CO-ATL
104.28.92.12/32,IPv4,CO-ATL
104.28.92.13/32,IPv4,CO-ATL
104.28.94.12/32,IPv4,CO-ATL
104.28.94.13/32,IPv4,CO-ATL
104.28.126.12/32,IPv4,CO-ATL
104.28.126.13/32,IPv4,CO-ATL
2606:54c0:2698::/45,IPv6,CO-ATL
2606:54c3:0:108e::/64,IPv6,CO-ATL
2a02:26f7:f7c0:e110::/64,IPv6,CO-ATL
2a02:26f7:f7c0:e135::/64,IPv6,CO-ATL
2a02:26f7:f7c0:e145::/64,IPv6,CO-ATL
2a02:26f7:f7c0:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7c0:e174::/64,IPv6,CO-ATL
2a02:26f7:f7c2:e110::/64,IPv6,CO-ATL
2a02:26f7:f7c2:e135::/64,IPv6,CO-ATL
2a02:26f7:f7c2:e145::/64,IPv6,CO-ATL
2a02:26f7:f7c2:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7c2:e174::/64,IPv6,CO-ATL
2a02:26f7:f7c4:e110::/64,IPv6,CO-ATL
2a02:26f7:f7c4:e135::/64,IPv6,CO-ATL
2a02:26f7:f7c4:e145::/64,IPv6,CO-ATL
2a02:26f7:f7c4:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7c4:e174::/64,IPv6,CO-ATL
2a02:26f7:f7cc:e110::/64,IPv6,CO-ATL
2a02:26f7:f7cc:e135::/64,IPv6,CO-ATL
2a02:26f7:f7cc:e145::/64,IPv6,CO-ATL
2a02:26f7:f7cc:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7cc:e174::/64,IPv6,CO-ATL
2a02:26f7:f7d0:e110::/64,IPv6,CO-ATL
2a02:26f7:f7d0:e135::/64,IPv6,CO-ATL
2a02:26f7:f7d0:e145::/64,IPv6,CO-ATL
2a02:26f7:f7d0:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7d0:e174::/64,IPv6,CO-ATL
2a02:26f7:f7d4:e110::/64,IPv6,CO-ATL
2a02:26f7:f7d4:e135::/64,IPv6,CO-ATL
2a02:26f7:f7d4:e145::/64,IPv6,CO-ATL
2a02:26f7:f7d4:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7d4:e174::/64,IPv6,CO-ATL
2a02:26f7:f7d8:e110::/64,IPv6,CO-ATL
2a02:26f7:f7d8:e135::/64,IPv6,CO-ATL
2a02:26f7:f7d8:e145::/64,IPv6,CO-ATL
2a02:26f7:f7d8:e16d::/64,IPv6,CO-ATL
2a02:26f7:f7d8:e174::/64,IPv6,CO-ATL
2a09:bac2:2698::/45,IPv6,CO-ATL
2a09:bac3:2698::/45,IPv6,CO-ATL
