ip_address,ip_type,region
2a02:26f7:f7c0:e105::/64,IPv6,CO-LAG
2a02:26f7:f7c0:e144::/64,IPv6,CO-LAG
2a02:26f7:f7c0:e160::/64,IPv6,CO-LAG
2a02:26f7:f7c2:e105::/64,IPv6,CO-LAG
2a02:26f7:f7c2:e144::/64,IPv6,CO-LAG
2a02:26f7:f7c2:e160::/64,IPv6,CO-LAG
2a02:26f7:f7c4:e105::/64,IPv6,CO-LAG
2a02:26f7:f7c4:e144::/64,IPv6,CO-LAG
2a02:26f7:f7c4:e160::/64,IPv6,CO-LAG
2a02:26f7:f7cc:e105::/64,IPv6,CO-LAG
2a02:26f7:f7cc:e144::/64,IPv6,CO-LAG
2a02:26f7:f7cc:e160::/64,IPv6,CO-LAG
2a02:26f7:f7d0:e105::/64,IPv6,CO-LAG
2a02:26f7:f7d0:e144::/64,IPv6,CO-LAG
2a02:26f7:f7d0:e160::/64,IPv6,CO-LAG
2a02:26f7:f7d4:e105::/64,IPv6,CO-LAG
2a02:26f7:f7d4:e144::/64,IPv6,CO-LAG
2a02:26f7:f7d4:e160::/64,IPv6,CO-LAG
2a02:26f7:f7d8:e105::/64,IPv6,CO-LAG
2a02:26f7:f7d8:e144::/64,IPv6,CO-LAG
2a02:26f7:f7d8:e160::/64,IPv6,CO-LAG
