ip_address,ip_type,region
104.28.32.36/32,IPv4,CO-MAG
104.28.32.37/32,IPv4,CO-MAG
104.28.36.50/32,IPv4,CO-MAG
104.28.36.51/32,IPv4,CO-MAG
104.28.91.34/32,IPv4,CO-MAG
104.28.91.35/32,IPv4,CO-MAG
104.28.92.42/32,IPv4,CO-MAG
104.28.92.43/32,IPv4,CO-MAG
104.28.94.42/32,IPv4,CO-MAG
104.28.94.43/32,IPv4,CO-MAG
104.28.126.42/32,IPv4,CO-MAG
104.28.126.43/32,IPv4,CO-MAG
2606:54c0:26c8::/45,IPv6,CO-MAG
2606:54c3:0:a4d::/64,IPv6,CO-MAG
2a09:bac2:26c8::/45,IPv6,CO-MAG
2a09:bac3:26c8::/45,IPv6,CO-MAG
