ip_address,ip_type,region
104.28.32.10/32,IPv4,CO-NAR
104.28.32.11/32,IPv4,CO-NAR
104.28.36.24/32,IPv4,CO-NAR
104.28.36.25/32,IPv4,CO-NAR
104.28.91.8/32,IPv4,CO-NAR
104.28.91.9/32,IPv4,CO-NAR
104.28.92.16/32,IPv4,CO-NAR
104.28.92.17/32,IPv4,CO-NAR
104.28.94.16/32,IPv4,CO-NAR
104.28.94.17/32,IPv4,CO-NAR
104.28.126.16/32,IPv4,CO-NAR
104.28.126.17/32,IPv4,CO-NAR
2606:54c0:26d8::/45,IPv6,CO-NAR
2606:54c3:0:130b::/64,IPv6,CO-NAR
2a09:bac2:26d8::/45,IPv6,CO-NAR
2a09:bac3:26d8::/45,IPv6,CO-NAR
