ip_address,ip_type,region
172.225.26.32/27,IPv4,CY
172.225.94.0/28,IPv4,CY
172.225.97.32/27,IPv4,CY
172.225.160.96/28,IPv4,CY
2a02:26f7:c200:4000::/64,IPv6,CY
2a02:26f7:c200:cd60::/64,IPv6,CY
2a02:26f7:c200:cd61::/64,IPv6,CY
2a02:26f7:c200:cd62::/64,IPv6,CY
2a02:26f7:c201:4000::/64,IPv6,CY
2a02:26f7:c202:4000::/64,IPv6,CY
2a02:26f7:c202:cd60::/64,IPv6,CY
2a02:26f7:c202:cd61::/64,IPv6,CY
2a02:26f7:c202:cd62::/64,IPv6,CY
2a02:26f7:c203:4000::/64,IPv6,CY
2a02:26f7:c204:4000::/64,IPv6,CY
2a02:26f7:c204:cd60::/64,IPv6,CY
2a02:26f7:c204:cd61::/64,IPv6,CY
2a02:26f7:c204:cd62::/64,IPv6,CY
2a02:26f7:c205:4000::/64,IPv6,CY
2a02:26f7:c208:4000::/64,IPv6,CY
2a02:26f7:c208:cd60::/64,IPv6,CY
2a02:26f7:c208:cd61::/64,IPv6,CY
2a02:26f7:c208:cd62::/64,IPv6,CY
2a02:26f7:c209:4000::/64,IPv6,CY
104.28.60.46/32,IPv4,CY
104.28.60.47/32,IPv4,CY
104.28.80.50/32,IPv4,CY
104.28.80.51/32,IPv4,CY
104.28.106.39/32,IPv4,CY
104.28.106.40/32,IPv4,CY
104.28.130.21/32,IPv4,CY
104.28.130.22/32,IPv4,CY
104.28.131.24/32,IPv4,CY
104.28.131.25/32,IPv4,CY
2606:54c0:2740::/45,IPv6,CY
2606:54c3:0:11ee::/64,IPv6,CY
2a09:bac2:2740::/45,IPv6,CY
2a09:bac3:2740::/45,IPv6,CY
2a04:4e41:1429::/48,IPv6,CY
2a04:4e41:1812::/48,IPv6,CY
2a04:4e41:2a11::/48,IPv6,CY
2a04:4e41:3617::/48,IPv6,CY
140.248.0.4/31,IPv4,CY
140.248.4.20/31,IPv4,CY
140.248.34.242/31,IPv4,CY
140.248.36.40/31,IPv4,CY
