ip_address,ip_type,region
104.28.30.12/32,IPv4,DK-82
104.28.30.13/32,IPv4,DK-82
104.28.45.6/32,IPv4,DK-82
104.28.45.7/32,IPv4,DK-82
104.28.64.4/32,IPv4,DK-82
104.28.64.5/32,IPv4,DK-82
104.28.105.2/32,IPv4,DK-82
104.28.105.3/32,IPv4,DK-82
104.28.129.13/32,IPv4,DK-82
104.28.129.14/32,IPv4,DK-82
2606:54c0:2fe8::/45,IPv6,DK-82
2606:54c3:0:3c2::/64,IPv6,DK-82
2a09:bac2:2fe8::/45,IPv6,DK-82
2a09:bac3:2fe8::/45,IPv6,DK-82
2a04:4e41:1c0::/52,IPv6,DK-82
2a04:4e41:1c0:1000::/52,IPv6,DK-82
2a04:4e41:1c0:2000::/52,IPv6,DK-82
2a04:4e41:1801:b000::/52,IPv6,DK-82
2a04:4e41:1801:c000::/52,IPv6,DK-82
2a04:4e41:1801:d000::/52,IPv6,DK-82
140.248.36.86/31,IPv4,DK-82
140.248.36.88/31,IPv4,DK-82
140.248.36.90/31,IPv4,DK-82
146.75.200.2/31,IPv4,DK-82
146.75.200.4/31,IPv4,DK-82
146.75.200.6/31,IPv4,DK-82
