ip_address,ip_type,region
104.28.60.237/32,IPv4,EG-ALX
104.28.60.238/32,IPv4,EG-ALX
104.28.60.239/32,IPv4,EG-ALX
104.28.81.65/32,IPv4,EG-ALX
104.28.81.66/32,IPv4,EG-ALX
104.28.81.67/32,IPv4,EG-ALX
104.28.98.113/32,IPv4,EG-ALX
104.28.98.114/32,IPv4,EG-ALX
104.28.98.115/32,IPv4,EG-ALX
104.28.107.26/32,IPv4,EG-ALX
104.28.107.27/32,IPv4,EG-ALX
104.28.107.28/32,IPv4,EG-ALX
104.28.130.195/32,IPv4,EG-ALX
104.28.130.196/32,IPv4,EG-ALX
104.28.130.197/32,IPv4,EG-ALX
2606:54c0:3068::/45,IPv6,EG-ALX
2606:54c3:0:170f::/64,IPv6,EG-ALX
2a09:bac2:3068::/45,IPv6,EG-ALX
2a09:bac3:3068::/45,IPv6,EG-ALX
