ip_address,ip_type,region
104.28.35.84/32,IPv4,FM-PNI
104.28.35.85/32,IPv4,FM-PNI
104.28.72.22/32,IPv4,FM-PNI
104.28.72.23/32,IPv4,FM-PNI
104.28.84.89/32,IPv4,FM-PNI
104.28.84.90/32,IPv4,FM-PNI
104.28.100.85/32,IPv4,FM-PNI
104.28.100.86/32,IPv4,FM-PNI
104.28.102.85/32,IPv4,FM-PNI
104.28.102.86/32,IPv4,FM-PNI
104.28.125.82/32,IPv4,FM-PNI
104.28.125.83/32,IPv4,FM-PNI
2606:54c0:3188::/45,IPv6,FM-PNI
2606:54c3:0:bef::/64,IPv6,FM-PNI
2a09:bac2:3188::/45,IPv6,FM-PNI
2a09:bac3:3188::/45,IPv6,FM-PNI
