ip_address,ip_type,region
104.28.30.129/32,IPv4,GB-WLV
104.28.30.130/32,IPv4,GB-WLV
104.28.40.130/32,IPv4,GB-WLV
104.28.40.131/32,IPv4,GB-WLV
104.28.53.65/32,IPv4,GB-WLV
104.28.53.66/32,IPv4,GB-WLV
104.28.86.96/32,IPv4,GB-WLV
104.28.86.97/32,IPv4,GB-WLV
104.28.89.67/32,IPv4,GB-WLV
104.28.89.68/32,IPv4,GB-WLV
2606:54c0:3828::/45,IPv6,GB-WLV
2606:54c3:0:3c3::/64,IPv6,GB-WLV
2a09:bac2:3828::/45,IPv6,GB-WLV
2a09:bac3:3828::/45,IPv6,GB-WLV
2a04:4e41:1302:c000::/52,IPv6,GB-WLV
2a04:4e41:1603:2000::/52,IPv6,GB-WLV
2a04:4e41:4e02:b000::/52,IPv6,GB-WLV
2a04:4e41:7403:2000::/52,IPv6,GB-WLV
140.248.40.110/31,IPv4,GB-WLV
146.75.168.124/31,IPv4,GB-WLV
146.75.174.98/31,IPv4,GB-WLV
146.75.185.124/31,IPv4,GB-WLV
