ip_address,ip_type,region
2a02:26f7:d700:d3e4::/64,IPv6,ID-BA
2a02:26f7:d700:d3e6::/64,IPv6,ID-BA
2a02:26f7:d700:d3e7::/64,IPv6,ID-BA
2a02:26f7:d704:d3e4::/64,IPv6,ID-BA
2a02:26f7:d704:d3e6::/64,IPv6,ID-BA
2a02:26f7:d704:d3e7::/64,IPv6,ID-BA
2a02:26f7:d708:d3e4::/64,IPv6,ID-BA
2a02:26f7:d708:d3e6::/64,IPv6,ID-BA
2a02:26f7:d708:d3e7::/64,IPv6,ID-BA
2a02:26f7:d709:d3e4::/64,IPv6,ID-BA
2a02:26f7:d709:d3e6::/64,IPv6,ID-BA
2a02:26f7:d709:d3e7::/64,IPv6,ID-BA
104.28.139.2/32,IPv4,ID-BA
2606:54c0:d458::/45,IPv6,ID-BA
2606:54c3:0:9ae::/64,IPv6,ID-BA
2a09:bac2:d458::/45,IPv6,ID-BA
2a09:bac3:d458::/45,IPv6,ID-BA
