ip_address,ip_type,region
2a02:26f7:dfc0:46c5::/64,IPv6,ID-LA
2a02:26f7:dfc0:46ee::/64,IPv6,ID-LA
2a02:26f7:dfc0:da97::/64,IPv6,ID-LA
2a02:26f7:dfc4:46c5::/64,IPv6,ID-LA
2a02:26f7:dfc4:46ee::/64,IPv6,ID-LA
2a02:26f7:dfc4:da97::/64,IPv6,ID-LA
2a02:26f7:dfc8:46c5::/64,IPv6,ID-LA
2a02:26f7:dfc8:46ee::/64,IPv6,ID-LA
2a02:26f7:dfc8:da97::/64,IPv6,ID-LA
2a02:26f7:dfcc:46c5::/64,IPv6,ID-LA
2a02:26f7:dfcc:46ee::/64,IPv6,ID-LA
2a02:26f7:dfcc:da97::/64,IPv6,ID-LA
2a02:26f7:dfcd:46c5::/64,IPv6,ID-LA
2a02:26f7:dfcd:46ee::/64,IPv6,ID-LA
2a02:26f7:dfcd:da97::/64,IPv6,ID-LA
104.28.37.229/32,IPv4,ID-LA
104.28.37.230/32,IPv4,ID-LA
104.28.43.179/32,IPv4,ID-LA
104.28.43.180/32,IPv4,ID-LA
104.28.67.57/32,IPv4,ID-LA
104.28.67.58/32,IPv4,ID-LA
104.28.70.57/32,IPv4,ID-LA
104.28.70.58/32,IPv4,ID-LA
104.28.118.51/32,IPv4,ID-LA
104.28.118.52/32,IPv4,ID-LA
104.28.121.51/32,IPv4,ID-LA
104.28.121.52/32,IPv4,ID-LA
2606:54c0:39b8::/45,IPv6,ID-LA
2606:54c3:0:e02::/64,IPv6,ID-LA
2a09:bac2:39b8::/45,IPv6,ID-LA
2a09:bac3:39b8::/45,IPv6,ID-LA
