ip_address,ip_type,region
2a02:26f7:d6c0:68c8::/64,IPv6,IN-MN
2a02:26f7:d6c0:68c9::/64,IPv6,IN-MN
2a02:26f7:d6c1:68c8::/64,IPv6,IN-MN
2a02:26f7:d6c1:68c9::/64,IPv6,IN-MN
2a02:26f7:d6c4:68c8::/64,IPv6,IN-MN
2a02:26f7:d6c4:68c9::/64,IPv6,IN-MN
2a02:26f7:d6c6:68c8::/64,IPv6,IN-MN
2a02:26f7:d6c6:68c9::/64,IPv6,IN-MN
2a02:26f7:d6cc:68c8::/64,IPv6,IN-MN
2a02:26f7:d6cc:68c9::/64,IPv6,IN-MN
2a02:26f7:d6d0:68c8::/64,IPv6,IN-MN
2a02:26f7:d6d0:68c9::/64,IPv6,IN-MN
2606:54c0:3dd0::/45,IPv6,IN-MN
2606:54c3:0:bc1::/64,IPv6,IN-MN
2a09:bac2:3dd0::/45,IPv6,IN-MN
2a09:bac3:3dd0::/45,IPv6,IN-MN
