ip_address,ip_type,region
104.28.37.39/32,IPv4,KH-12
104.28.37.40/32,IPv4,KH-12
104.28.37.41/32,IPv4,KH-12
104.28.43.31/32,IPv4,KH-12
104.28.43.32/32,IPv4,KH-12
104.28.43.33/32,IPv4,KH-12
104.28.66.25/32,IPv4,KH-12
104.28.66.26/32,IPv4,KH-12
104.28.66.27/32,IPv4,KH-12
104.28.69.25/32,IPv4,KH-12
104.28.69.26/32,IPv4,KH-12
104.28.69.27/32,IPv4,KH-12
104.28.117.27/32,IPv4,KH-12
104.28.117.28/32,IPv4,KH-12
104.28.117.29/32,IPv4,KH-12
104.28.120.27/32,IPv4,KH-12
104.28.120.28/32,IPv4,KH-12
104.28.120.29/32,IPv4,KH-12
104.28.148.187/32,IPv4,KH-12
104.28.148.188/32,IPv4,KH-12
104.28.148.189/32,IPv4,KH-12
2606:54c0:4648::/45,IPv6,KH-12
2606:54c3:0:2c8::/64,IPv6,KH-12
2a09:bac2:4648::/45,IPv6,KH-12
2a09:bac3:4648::/45,IPv6,KH-12
2a04:4e41:12a0:1000::/52,IPv6,KH-12
2a04:4e41:4600:3000::/52,IPv6,KH-12
2a04:4e41:5e01:3000::/52,IPv6,KH-12
2a04:4e41:7601:3000::/52,IPv6,KH-12
140.248.48.18/31,IPv4,KH-12
146.75.132.64/31,IPv4,KH-12
146.75.160.64/31,IPv4,KH-12
146.75.187.16/31,IPv4,KH-12
