ip_address,ip_type,region
104.28.67.239/32,IPv4,KR-44
104.28.67.240/32,IPv4,KR-44
104.28.70.239/32,IPv4,KR-44
104.28.70.240/32,IPv4,KR-44
104.28.84.9/32,IPv4,KR-44
104.28.84.10/32,IPv4,KR-44
104.28.100.5/32,IPv4,KR-44
104.28.100.6/32,IPv4,KR-44
104.28.102.5/32,IPv4,KR-44
104.28.102.6/32,IPv4,KR-44
104.28.118.233/32,IPv4,KR-44
104.28.118.234/32,IPv4,KR-44
104.28.121.233/32,IPv4,KR-44
104.28.121.234/32,IPv4,KR-44
2606:54c0:46f0::/45,IPv6,KR-44
2606:54c3:0:1671::/64,IPv6,KR-44
2a09:bac2:46f0::/45,IPv6,KR-44
2a09:bac3:46f0::/45,IPv6,KR-44
