ip_address,ip_type,region
172.225.118.192/27,IPv4,ML
172.225.161.96/28,IPv4,ML
172.225.162.160/28,IPv4,ML
2a02:26f7:c2c0:4000::/64,IPv6,ML
2a02:26f7:c2c0:ce80::/64,IPv6,ML
2a02:26f7:c2c0:ce81::/64,IPv6,ML
2a02:26f7:c2c0:ce82::/64,IPv6,ML
2a02:26f7:c2c0:ce83::/64,IPv6,ML
2a02:26f7:c2c1:4000::/64,IPv6,ML
2a02:26f7:c2c4:4000::/64,IPv6,ML
2a02:26f7:c2c4:ce80::/64,IPv6,ML
2a02:26f7:c2c4:ce81::/64,IPv6,ML
2a02:26f7:c2c4:ce82::/64,IPv6,ML
2a02:26f7:c2c4:ce83::/64,IPv6,ML
2a02:26f7:c2c5:4000::/64,IPv6,ML
2a02:26f7:c2c8:4000::/64,IPv6,ML
2a02:26f7:c2c8:ce80::/64,IPv6,ML
2a02:26f7:c2c8:ce81::/64,IPv6,ML
2a02:26f7:c2c8:ce82::/64,IPv6,ML
2a02:26f7:c2c8:ce83::/64,IPv6,ML
2a02:26f7:c2c9:4000::/64,IPv6,ML
2a04:4e41:810::/48,IPv6,ML
2a04:4e41:131d::/48,IPv6,ML
2a04:4e41:410e::/48,IPv6,ML
2a04:4e41:4810::/48,IPv6,ML
2a04:4e41:780e::/48,IPv6,ML
140.248.24.82/31,IPv4,ML
140.248.40.154/31,IPv4,ML
140.248.41.82/31,IPv4,ML
146.75.182.44/31,IPv4,ML
146.75.210.44/31,IPv4,ML
