ip_address,ip_type,region
2a02:26f7:c000:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c000:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c002:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c002:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c009:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c009:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c00c:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c00c:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c010:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c010:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c014:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c014:5c0e::/64,IPv6,MX-CAM
2a02:26f7:c018:5c0d::/64,IPv6,MX-CAM
2a02:26f7:c018:5c0e::/64,IPv6,MX-CAM
2606:54c0:49c8::/45,IPv6,MX-CAM
2606:54c0:49d0::/45,IPv6,MX-CAM
2606:54c3:0:3c9::/64,IPv6,MX-CAM
2606:54c3:0:542::/64,IPv6,MX-CAM
2a09:bac2:49c8::/45,IPv6,MX-CAM
2a09:bac2:49d0::/45,IPv6,MX-CAM
2a09:bac3:49c8::/45,IPv6,MX-CAM
2a09:bac3:49d0::/45,IPv6,MX-CAM
