ip_address,ip_type,region
2a02:26f7:c000:5c10::/64,IPv6,MX-CHP
2a02:26f7:c000:5c11::/64,IPv6,MX-CHP
2a02:26f7:c000:5c12::/64,IPv6,MX-CHP
2a02:26f7:c002:5c10::/64,IPv6,MX-CHP
2a02:26f7:c002:5c11::/64,IPv6,MX-CHP
2a02:26f7:c002:5c12::/64,IPv6,MX-CHP
2a02:26f7:c009:5c10::/64,IPv6,MX-CHP
2a02:26f7:c009:5c11::/64,IPv6,MX-CHP
2a02:26f7:c009:5c12::/64,IPv6,MX-CHP
2a02:26f7:c00c:5c10::/64,IPv6,MX-CHP
2a02:26f7:c00c:5c11::/64,IPv6,MX-CHP
2a02:26f7:c00c:5c12::/64,IPv6,MX-CHP
2a02:26f7:c010:5c10::/64,IPv6,MX-CHP
2a02:26f7:c010:5c11::/64,IPv6,MX-CHP
2a02:26f7:c010:5c12::/64,IPv6,MX-CHP
2a02:26f7:c014:5c10::/64,IPv6,MX-CHP
2a02:26f7:c014:5c11::/64,IPv6,MX-CHP
2a02:26f7:c014:5c12::/64,IPv6,MX-CHP
2a02:26f7:c018:5c10::/64,IPv6,MX-CHP
2a02:26f7:c018:5c11::/64,IPv6,MX-CHP
2a02:26f7:c018:5c12::/64,IPv6,MX-CHP
