ip_address,ip_type,region
172.224.232.32/31,IPv4,MX-GRO
172.225.14.142/31,IPv4,MX-GRO
172.225.93.150/31,IPv4,MX-GRO
172.225.103.52/31,IPv4,MX-GRO
172.225.154.212/31,IPv4,MX-GRO
172.225.155.36/31,IPv4,MX-GRO
172.226.122.52/31,IPv4,MX-GRO
2a02:26f7:c000:5c01::/64,IPv6,MX-GRO
2a02:26f7:c000:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c000:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c000:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c002:5c01::/64,IPv6,MX-GRO
2a02:26f7:c002:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c002:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c002:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c009:5c01::/64,IPv6,MX-GRO
2a02:26f7:c009:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c009:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c009:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c00c:5c01::/64,IPv6,MX-GRO
2a02:26f7:c00c:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c00c:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c00c:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c010:5c01::/64,IPv6,MX-GRO
2a02:26f7:c010:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c010:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c010:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c014:5c01::/64,IPv6,MX-GRO
2a02:26f7:c014:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c014:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c014:5c1e::/64,IPv6,MX-GRO
2a02:26f7:c018:5c01::/64,IPv6,MX-GRO
2a02:26f7:c018:5c1c::/64,IPv6,MX-GRO
2a02:26f7:c018:5c1d::/64,IPv6,MX-GRO
2a02:26f7:c018:5c1e::/64,IPv6,MX-GRO
2606:54c0:4a50::/45,IPv6,MX-GRO
2606:54c3:0:5d::/64,IPv6,MX-GRO
2a09:bac2:4a50::/45,IPv6,MX-GRO
2a09:bac3:4a50::/45,IPv6,MX-GRO
