ip_address,ip_type,region
2a02:26f7:c000:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c000:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c000:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c002:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c002:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c002:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c009:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c009:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c009:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c00c:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c00c:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c00c:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c010:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c010:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c010:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c014:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c014:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c014:5c3d::/64,IPv6,MX-MOR
2a02:26f7:c018:5c3b::/64,IPv6,MX-MOR
2a02:26f7:c018:5c3c::/64,IPv6,MX-MOR
2a02:26f7:c018:5c3d::/64,IPv6,MX-MOR
2606:54c0:4af0::/45,IPv6,MX-MOR
2606:54c0:4af8::/45,IPv6,MX-MOR
2606:54c3:0:1f4::/64,IPv6,MX-MOR
2606:54c3:0:108b::/64,IPv6,MX-MOR
2a09:bac2:4af0::/45,IPv6,MX-MOR
2a09:bac2:4af8::/45,IPv6,MX-MOR
2a09:bac3:4af0::/45,IPv6,MX-MOR
2a09:bac3:4af8::/45,IPv6,MX-MOR
