ip_address,ip_type,region
2a02:26f7:c6c0:49c7::/64,IPv6,MY-08
2a02:26f7:c6c0:49cc::/64,IPv6,MY-08
2a02:26f7:c6c0:49d0::/64,IPv6,MY-08
2a02:26f7:c6c0:49d6::/64,IPv6,MY-08
2a02:26f7:c6c0:49e5::/64,IPv6,MY-08
2a02:26f7:c6c0:49f5::/64,IPv6,MY-08
2a02:26f7:c6c0:49f7::/64,IPv6,MY-08
2a02:26f7:c6c0:49f8::/64,IPv6,MY-08
2a02:26f7:c6c4:49c7::/64,IPv6,MY-08
2a02:26f7:c6c4:49cc::/64,IPv6,MY-08
2a02:26f7:c6c4:49d0::/64,IPv6,MY-08
2a02:26f7:c6c4:49d6::/64,IPv6,MY-08
2a02:26f7:c6c4:49e5::/64,IPv6,MY-08
2a02:26f7:c6c4:49f5::/64,IPv6,MY-08
2a02:26f7:c6c4:49f7::/64,IPv6,MY-08
2a02:26f7:c6c4:49f8::/64,IPv6,MY-08
2a02:26f7:c6c5:49c7::/64,IPv6,MY-08
2a02:26f7:c6c5:49cc::/64,IPv6,MY-08
2a02:26f7:c6c5:49d0::/64,IPv6,MY-08
2a02:26f7:c6c5:49d6::/64,IPv6,MY-08
2a02:26f7:c6c5:49e5::/64,IPv6,MY-08
2a02:26f7:c6c5:49f5::/64,IPv6,MY-08
2a02:26f7:c6c5:49f7::/64,IPv6,MY-08
2a02:26f7:c6c5:49f8::/64,IPv6,MY-08
2a02:26f7:c6c8:49c7::/64,IPv6,MY-08
2a02:26f7:c6c8:49cc::/64,IPv6,MY-08
2a02:26f7:c6c8:49d0::/64,IPv6,MY-08
2a02:26f7:c6c8:49d6::/64,IPv6,MY-08
2a02:26f7:c6c8:49e5::/64,IPv6,MY-08
2a02:26f7:c6c8:49f5::/64,IPv6,MY-08
2a02:26f7:c6c8:49f7::/64,IPv6,MY-08
2a02:26f7:c6c8:49f8::/64,IPv6,MY-08
104.28.38.29/32,IPv4,MY-08
104.28.38.30/32,IPv4,MY-08
104.28.44.129/32,IPv4,MY-08
104.28.44.130/32,IPv4,MY-08
104.28.68.62/32,IPv4,MY-08
104.28.68.63/32,IPv4,MY-08
104.28.71.62/32,IPv4,MY-08
104.28.71.63/32,IPv4,MY-08
104.28.119.56/32,IPv4,MY-08
104.28.119.57/32,IPv4,MY-08
104.28.122.56/32,IPv4,MY-08
104.28.122.57/32,IPv4,MY-08
2606:54c0:4c70::/45,IPv6,MY-08
2606:54c3:0:4c3::/64,IPv6,MY-08
2a09:bac2:4c70::/45,IPv6,MY-08
2a09:bac3:4c70::/45,IPv6,MY-08
