ip_address,ip_type,region
172.225.60.206/31,IPv4,NZ-OTA
172.225.63.92/31,IPv4,NZ-OTA
172.225.156.178/31,IPv4,NZ-OTA
172.225.245.104/31,IPv4,NZ-OTA
2a02:26f7:f400:5302::/64,IPv6,NZ-OTA
2a02:26f7:f400:5317::/64,IPv6,NZ-OTA
2a02:26f7:f404:5302::/64,IPv6,NZ-OTA
2a02:26f7:f404:5317::/64,IPv6,NZ-OTA
2a02:26f7:f408:5302::/64,IPv6,NZ-OTA
2a02:26f7:f408:5317::/64,IPv6,NZ-OTA
2a02:26f7:f40c:5302::/64,IPv6,NZ-OTA
2a02:26f7:f40c:5317::/64,IPv6,NZ-OTA
2a04:4e41:120:2000::/52,IPv6,NZ-OTA
2a04:4e41:1a0:2000::/52,IPv6,NZ-OTA
2a04:4e41:4cc0:2000::/52,IPv6,NZ-OTA
2a04:4e41:6800:2000::/52,IPv6,NZ-OTA
140.248.11.6/31,IPv4,NZ-OTA
146.75.190.16/31,IPv4,NZ-OTA
146.75.216.6/31,IPv4,NZ-OTA
146.75.219.6/31,IPv4,NZ-OTA
