ip_address,ip_type,region
104.28.31.47/32,IPv4,RU-MOW
104.28.31.48/32,IPv4,RU-MOW
104.28.31.49/32,IPv4,RU-MOW
104.28.31.50/32,IPv4,RU-MOW
104.28.31.51/32,IPv4,RU-MOW
104.28.31.52/32,IPv4,RU-MOW
104.28.51.179/32,IPv4,RU-MOW
104.28.51.180/32,IPv4,RU-MOW
104.28.51.181/32,IPv4,RU-MOW
104.28.51.182/32,IPv4,RU-MOW
104.28.51.183/32,IPv4,RU-MOW
104.28.51.184/32,IPv4,RU-MOW
104.28.65.49/32,IPv4,RU-MOW
104.28.65.50/32,IPv4,RU-MOW
104.28.65.51/32,IPv4,RU-MOW
104.28.65.52/32,IPv4,RU-MOW
104.28.65.53/32,IPv4,RU-MOW
104.28.65.54/32,IPv4,RU-MOW
104.28.106.156/32,IPv4,RU-MOW
104.28.106.157/32,IPv4,RU-MOW
104.28.106.158/32,IPv4,RU-MOW
104.28.106.159/32,IPv4,RU-MOW
104.28.106.160/32,IPv4,RU-MOW
104.28.106.161/32,IPv4,RU-MOW
104.28.131.130/32,IPv4,RU-MOW
104.28.131.131/32,IPv4,RU-MOW
104.28.131.132/32,IPv4,RU-MOW
104.28.131.133/32,IPv4,RU-MOW
104.28.131.134/32,IPv4,RU-MOW
104.28.131.135/32,IPv4,RU-MOW
2606:54c0:50c0::/45,IPv6,RU-MOW
2606:54c3:0:14e6::/64,IPv6,RU-MOW
2a09:bac2:50c0::/45,IPv6,RU-MOW
2a09:bac3:50c0::/45,IPv6,RU-MOW
2a04:4e41:1404::/52,IPv6,RU-MOW
2a04:4e41:1804:9000::/52,IPv6,RU-MOW
2a04:4e41:5604::/52,IPv6,RU-MOW
140.248.34.200/31,IPv4,RU-MOW
140.248.36.254/31,IPv4,RU-MOW
146.75.169.200/31,IPv4,RU-MOW
