ip_address,ip_type,region
2a02:26f7:c640:d98d::/64,IPv6,TH-90
2a02:26f7:c640:d98e::/64,IPv6,TH-90
2a02:26f7:c644:d98d::/64,IPv6,TH-90
2a02:26f7:c644:d98e::/64,IPv6,TH-90
2a02:26f7:c645:d98d::/64,IPv6,TH-90
2a02:26f7:c645:d98e::/64,IPv6,TH-90
2a02:26f7:c648:d98d::/64,IPv6,TH-90
2a02:26f7:c648:d98e::/64,IPv6,TH-90
2606:54c0:5740::/45,IPv6,TH-90
2606:54c0:5748::/45,IPv6,TH-90
2606:54c3:0:9d9::/64,IPv6,TH-90
2606:54c3:0:10af::/64,IPv6,TH-90
2a09:bac2:5740::/45,IPv6,TH-90
2a09:bac2:5748::/45,IPv6,TH-90
2a09:bac3:5740::/45,IPv6,TH-90
2a09:bac3:5748::/45,IPv6,TH-90
