ip_address,ip_type,region
104.28.66.117/32,IPv4,TW-CHA
104.28.66.118/32,IPv4,TW-CHA
104.28.69.117/32,IPv4,TW-CHA
104.28.69.118/32,IPv4,TW-CHA
104.28.83.89/32,IPv4,TW-CHA
104.28.83.90/32,IPv4,TW-CHA
104.28.99.83/32,IPv4,TW-CHA
104.28.99.84/32,IPv4,TW-CHA
104.28.101.83/32,IPv4,TW-CHA
104.28.101.84/32,IPv4,TW-CHA
104.28.117.119/32,IPv4,TW-CHA
104.28.117.120/32,IPv4,TW-CHA
104.28.120.119/32,IPv4,TW-CHA
104.28.120.120/32,IPv4,TW-CHA
104.28.128.11/32,IPv4,TW-CHA
104.28.128.12/32,IPv4,TW-CHA
2606:54c0:57f0::/45,IPv6,TW-CHA
2606:54c3:0:13e0::/64,IPv6,TW-CHA
2a09:bac2:57f0::/45,IPv6,TW-CHA
2a09:bac3:57f0::/45,IPv6,TW-CHA
