ip_address,ip_type,region
172.225.82.224/27,IPv4,UY
172.225.83.64/28,IPv4,UY
172.225.84.112/28,IPv4,UY
172.225.84.176/29,IPv4,UY
172.225.222.112/28,IPv4,UY
172.225.222.152/29,IPv4,UY
2a02:26f7:d880:4000::/64,IPv6,UY
2a02:26f7:d880:4e80::/64,IPv6,UY
2a02:26f7:d881:4000::/64,IPv6,UY
2a02:26f7:d884:4000::/64,IPv6,UY
2a02:26f7:d884:4e80::/64,IPv6,UY
2a02:26f7:d885:4000::/64,IPv6,UY
2a02:26f7:d888:4000::/64,IPv6,UY
2a02:26f7:d888:4e80::/64,IPv6,UY
2a02:26f7:d889:4000::/64,IPv6,UY
2606:54c0:d228::/45,IPv6,UY
2606:54c3:0:173c::/64,IPv6,UY
2a09:bac2:d228::/45,IPv6,UY
2a09:bac3:d228::/45,IPv6,UY
2a04:4e41:1243::/48,IPv6,UY
2a04:4e41:1a08::/48,IPv6,UY
2a04:4e41:6208::/48,IPv6,UY
2a04:4e41:6308::/48,IPv6,UY
140.248.19.8/31,IPv4,UY
140.248.25.22/31,IPv4,UY
146.75.179.22/31,IPv4,UY
146.75.191.22/31,IPv4,UY
