ip_address,ip_type,region
140.248.40.200/31,IPv4,ZA
146.75.168.184/31,IPv4,ZA
146.75.185.184/31,IPv4,ZA
146.75.198.34/31,IPv4,ZA
146.75.224.2/31,IPv4,ZA
2606:54c0:d3b0::/45,IPv6,ZA
2606:54c0:d3b8::/45,IPv6,ZA
2606:54c0:d3c0::/45,IPv6,ZA
2606:54c0:d3c8::/45,IPv6,ZA
2606:54c3:0:280::/64,IPv6,ZA
2606:54c3:0:a09::/64,IPv6,ZA
2606:54c3:0:be7::/64,IPv6,ZA
2606:54c3:0:d00::/64,IPv6,ZA
2a04:4e41:1e1::/48,IPv6,ZA
2a04:4e41:12d1::/48,IPv6,ZA
2a04:4e41:132f::/48,IPv6,ZA
2a04:4e41:1625::/48,IPv6,ZA
2a04:4e41:7425::/48,IPv6,ZA
2a09:bac2:d3b0::/45,IPv6,ZA
2a09:bac2:d3b8::/45,IPv6,ZA
2a09:bac2:d3c0::/45,IPv6,ZA
2a09:bac2:d3c8::/45,IPv6,ZA
2a09:bac3:d3b0::/45,IPv6,ZA
2a09:bac3:d3b8::/45,IPv6,ZA
2a09:bac3:d3c0::/45,IPv6,ZA
2a09:bac3:d3c8::/45,IPv6,ZA
