ip_address,ip_type,service,region
104.192.142.224/28,IPv4,rovo-crawler,us-east-1
2401:1d80:321c:4::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
2401:1d80:321c:3::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
2401:1d80:321c:5::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
18.234.32.224/28,IPv4,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
44.220.40.160/28,IPv4,"confluence,jira,opsgenie",us-east-1
104.192.142.240/28,IPv4,"bitbucket,confluence,forge,github-for-jira,halp,jira,opsgenie,statuspage,trello",us-east-1
44.220.40.128/25,IPv4,"confluence,jira,opsgenie",us-east-1
2600:1f18:2146:e304::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
2600:1f18:2146:e305::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
2600:1f18:2146:e306::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",us-east-1
104.192.142.0/24,IPv4,"bitbucket,confluence,forge,github-for-jira,halp,jira,opsgenie,statuspage,trello",us-east-1
3.216.235.48/32,IPv4,bitbucket,us-east-1
34.231.96.243/32,IPv4,bitbucket,us-east-1
44.199.3.254/32,IPv4,bitbucket,us-east-1
174.129.205.191/32,IPv4,bitbucket,us-east-1
44.199.127.226/32,IPv4,bitbucket,us-east-1
44.199.45.64/32,IPv4,bitbucket,us-east-1
3.221.151.112/32,IPv4,bitbucket,us-east-1
52.205.184.192/32,IPv4,bitbucket,us-east-1
52.72.137.240/32,IPv4,bitbucket,us-east-1
34.232.119.183/32,IPv4,bitbucket,us-east-1
35.171.175.212/32,IPv4,bitbucket,us-east-1
34.199.54.113/32,IPv4,bitbucket,us-east-1
52.204.96.37/32,IPv4,bitbucket,us-east-1
34.232.25.90/32,IPv4,bitbucket,us-east-1
52.202.195.162/32,IPv4,bitbucket,us-east-1
52.54.90.98/32,IPv4,bitbucket,us-east-1
52.203.14.55/32,IPv4,bitbucket,us-east-1
34.236.25.177/32,IPv4,bitbucket,us-east-1
3.220.210.28/32,IPv4,forge,us-east-1
34.231.161.126/32,IPv4,forge,us-east-1
34.194.73.28/32,IPv4,forge,us-east-1
3.231.15.71/32,IPv4,forge,us-east-1
3.224.137.93/32,IPv4,forge,us-east-1
52.55.61.132/32,IPv4,forge,us-east-1
54.156.218.101/32,IPv4,forge,us-east-1
34.194.247.143/32,IPv4,forge,us-east-1
54.193.160.145/32,IPv4,forge,us-east-1
34.233.65.54/32,IPv4,bitbucket,us-east-1
34.196.8.197/32,IPv4,bitbucket,us-east-1
44.194.7.14/32,IPv4,bitbucket,us-east-1
