ip_address,ip_type,service,region
3.108.0.0/14,IPv4,AMAZON,ap-south-1
13.248.117.0/24,IPv4,AMAZON,ap-south-1
52.93.127.133/32,IPv4,AMAZON,ap-south-1
150.222.84.0/24,IPv4,AMAZON,ap-south-1
15.220.216.0/22,IPv4,AMAZON,ap-south-1
13.204.0.0/14,IPv4,AMAZON,ap-south-1
52.93.79.0/24,IPv4,AMAZON,ap-south-1
15.230.70.0/26,IPv4,AMAZON,ap-south-1
15.230.253.0/24,IPv4,AMAZON,ap-south-1
52.93.127.126/32,IPv4,AMAZON,ap-south-1
150.222.220.0/24,IPv4,AMAZON,ap-south-1
99.77.238.0/24,IPv4,AMAZON,ap-south-1
52.93.127.127/32,IPv4,AMAZON,ap-south-1
3.4.12.19/32,IPv4,AMAZON,ap-south-1
3.5.208.0/22,IPv4,AMAZON,ap-south-1
35.50.233.0/24,IPv4,AMAZON,ap-south-1
52.93.148.0/26,IPv4,AMAZON,ap-south-1
13.248.105.0/24,IPv4,AMAZON,ap-south-1
52.144.228.0/31,IPv4,AMAZON,ap-south-1
52.93.148.128/26,IPv4,AMAZON,ap-south-1
15.220.232.0/24,IPv4,AMAZON,ap-south-1
52.93.127.131/32,IPv4,AMAZON,ap-south-1
5.60.220.0/22,IPv4,AMAZON,ap-south-1
52.94.198.80/28,IPv4,AMAZON,ap-south-1
150.222.123.0/24,IPv4,AMAZON,ap-south-1
54.239.0.208/28,IPv4,AMAZON,ap-south-1
52.93.126.244/32,IPv4,AMAZON,ap-south-1
35.50.231.0/24,IPv4,AMAZON,ap-south-1
15.230.215.0/24,IPv4,AMAZON,ap-south-1
52.219.62.0/23,IPv4,AMAZON,ap-south-1
43.204.0.0/15,IPv4,AMAZON,ap-south-1
142.4.179.0/24,IPv4,AMAZON,ap-south-1
173.83.211.0/24,IPv4,AMAZON,ap-south-1
3.4.12.21/32,IPv4,AMAZON,ap-south-1
15.220.228.0/22,IPv4,AMAZON,ap-south-1
52.93.126.245/32,IPv4,AMAZON,ap-south-1
150.222.217.0/24,IPv4,AMAZON,ap-south-1
52.144.228.128/26,IPv4,AMAZON,ap-south-1
3.4.12.22/32,IPv4,AMAZON,ap-south-1
16.12.36.0/22,IPv4,AMAZON,ap-south-1
52.95.249.0/24,IPv4,AMAZON,ap-south-1
65.0.0.0/14,IPv4,AMAZON,ap-south-1
71.141.8.0/21,IPv4,AMAZON,ap-south-1
5.60.228.0/22,IPv4,AMAZON,ap-south-1
15.230.70.64/26,IPv4,AMAZON,ap-south-1
88.108.0.0/14,IPv4,AMAZON,ap-south-1
64.252.101.0/24,IPv4,AMAZON,ap-south-1
15.220.227.0/24,IPv4,AMAZON,ap-south-1
15.177.73.0/24,IPv4,AMAZON,ap-south-1
52.144.223.128/26,IPv4,AMAZON,ap-south-1
15.230.1.0/24,IPv4,AMAZON,ap-south-1
13.232.0.0/14,IPv4,AMAZON,ap-south-1
52.93.116.0/24,IPv4,AMAZON,ap-south-1
99.83.76.0/22,IPv4,AMAZON,ap-south-1
15.220.136.0/21,IPv4,AMAZON,ap-south-1
52.93.126.205/32,IPv4,AMAZON,ap-south-1
15.230.54.0/24,IPv4,AMAZON,ap-south-1
150.222.115.0/24,IPv4,AMAZON,ap-south-1
52.219.160.0/23,IPv4,AMAZON,ap-south-1
35.71.100.0/24,IPv4,AMAZON,ap-south-1
150.222.235.0/24,IPv4,AMAZON,ap-south-1
5.60.224.0/22,IPv4,AMAZON,ap-south-1
52.93.126.204/32,IPv4,AMAZON,ap-south-1
64.252.100.0/24,IPv4,AMAZON,ap-south-1
13.126.0.0/15,IPv4,AMAZON,ap-south-1
13.202.0.0/15,IPv4,AMAZON,ap-south-1
15.206.0.0/15,IPv4,AMAZON,ap-south-1
150.222.83.0/24,IPv4,AMAZON,ap-south-1
52.93.127.129/32,IPv4,AMAZON,ap-south-1
150.222.8.0/24,IPv4,AMAZON,ap-south-1
52.93.99.0/24,IPv4,AMAZON,ap-south-1
13.200.0.0/15,IPv4,AMAZON,ap-south-1
15.248.24.0/22,IPv4,AMAZON,ap-south-1
18.96.224.0/19,IPv4,AMAZON,ap-south-1
52.94.248.144/28,IPv4,AMAZON,ap-south-1
99.82.160.0/24,IPv4,AMAZON,ap-south-1
15.230.203.0/24,IPv4,AMAZON,ap-south-1
3.4.15.32/29,IPv4,AMAZON,ap-south-1
3.5.212.0/23,IPv4,AMAZON,ap-south-1
52.93.68.0/24,IPv4,AMAZON,ap-south-1
52.219.64.0/22,IPv4,AMAZON,ap-south-1
52.93.98.0/24,IPv4,AMAZON,ap-south-1
15.230.70.128/26,IPv4,AMAZON,ap-south-1
15.193.0.0/24,IPv4,AMAZON,ap-south-1
52.66.0.0/16,IPv4,AMAZON,ap-south-1
3.4.12.20/32,IPv4,AMAZON,ap-south-1
35.50.232.0/24,IPv4,AMAZON,ap-south-1
104.255.59.91/32,IPv4,AMAZON,ap-south-1
104.255.59.85/32,IPv4,AMAZON,ap-south-1
52.219.156.0/22,IPv4,AMAZON,ap-south-1
52.93.140.0/24,IPv4,AMAZON,ap-south-1
52.93.148.64/26,IPv4,AMAZON,ap-south-1
52.95.64.0/20,IPv4,AMAZON,ap-south-1
96.0.60.0/22,IPv4,AMAZON,ap-south-1
35.154.0.0/16,IPv4,AMAZON,ap-south-1
52.144.228.2/31,IPv4,AMAZON,ap-south-1
52.93.127.130/32,IPv4,AMAZON,ap-south-1
64.252.98.0/24,IPv4,AMAZON,ap-south-1
52.95.80.0/20,IPv4,AMAZON,ap-south-1
43.249.46.0/24,IPv4,AMAZON,ap-south-1
15.230.194.0/24,IPv4,AMAZON,ap-south-1
52.95.96.0/22,IPv4,AMAZON,ap-south-1
52.144.223.64/26,IPv4,AMAZON,ap-south-1
150.222.113.0/24,IPv4,AMAZON,ap-south-1
52.93.127.128/32,IPv4,AMAZON,ap-south-1
150.222.210.0/24,IPv4,AMAZON,ap-south-1
3.6.0.0/15,IPv4,AMAZON,ap-south-1
5.60.216.0/22,IPv4,AMAZON,ap-south-1
16.12.40.0/23,IPv4,AMAZON,ap-south-1
96.0.64.0/21,IPv4,AMAZON,ap-south-1
99.151.136.0/21,IPv4,AMAZON,ap-south-1
3.4.15.40/29,IPv4,AMAZON,ap-south-1
99.83.72.0/22,IPv4,AMAZON,ap-south-1
142.4.180.0/24,IPv4,AMAZON,ap-south-1
52.94.20.0/24,IPv4,AMAZON,ap-south-1
104.255.59.86/32,IPv4,AMAZON,ap-south-1
99.77.145.0/24,IPv4,AMAZON,ap-south-1
15.230.104.0/24,IPv4,AMAZON,ap-south-1
64.252.99.0/24,IPv4,AMAZON,ap-south-1
15.220.128.0/21,IPv4,AMAZON,ap-south-1
52.93.127.132/32,IPv4,AMAZON,ap-south-1
