ip_address,ip_type,service,region
13.248.67.0/24,IPv4,AMAZON,ap-southeast-4
150.222.51.160/27,IPv4,AMAZON,ap-southeast-4
3.5.40.0/22,IPv4,AMAZON,ap-southeast-4
56.99.0.0/16,IPv4,AMAZON,ap-southeast-4
70.232.80.0/21,IPv4,AMAZON,ap-southeast-4
52.95.168.0/24,IPv4,AMAZON,ap-southeast-4
56.97.0.0/16,IPv4,AMAZON,ap-southeast-4
52.94.250.16/28,IPv4,AMAZON,ap-southeast-4
52.95.166.0/23,IPv4,AMAZON,ap-southeast-4
104.255.59.133/32,IPv4,AMAZON,ap-southeast-4
104.255.59.134/32,IPv4,AMAZON,ap-southeast-4
104.255.59.130/32,IPv4,AMAZON,ap-southeast-4
16.26.0.0/16,IPv4,AMAZON,ap-southeast-4
54.239.1.224/28,IPv4,AMAZON,ap-southeast-4
70.232.88.0/22,IPv4,AMAZON,ap-southeast-4
35.71.112.0/24,IPv4,AMAZON,ap-southeast-4
56.98.0.0/16,IPv4,AMAZON,ap-southeast-4
99.151.72.0/21,IPv4,AMAZON,ap-southeast-4
16.27.0.0/16,IPv4,AMAZON,ap-southeast-4
70.232.64.0/20,IPv4,AMAZON,ap-southeast-4
104.255.59.132/32,IPv4,AMAZON,ap-southeast-4
150.222.51.192/27,IPv4,AMAZON,ap-southeast-4
150.222.51.224/27,IPv4,AMAZON,ap-southeast-4
15.230.118.0/24,IPv4,AMAZON,ap-southeast-4
104.255.59.131/32,IPv4,AMAZON,ap-southeast-4
18.99.192.0/20,IPv4,AMAZON,ap-southeast-4
16.50.0.0/15,IPv4,AMAZON,ap-southeast-4
15.177.96.0/24,IPv4,AMAZON,ap-southeast-4
15.230.249.0/24,IPv4,AMAZON,ap-southeast-4
56.96.0.0/16,IPv4,AMAZON,ap-southeast-4
104.255.59.135/32,IPv4,AMAZON,ap-southeast-4
16.50.144.0/25,IPv4,AMAZON,ap-southeast-4
16.50.144.128/25,IPv4,AMAZON,ap-southeast-4
16.50.161.0/25,IPv4,AMAZON,ap-southeast-4
16.50.181.128/25,IPv4,AMAZON,ap-southeast-4
16.50.182.0/25,IPv4,AMAZON,ap-southeast-4
16.50.206.0/25,IPv4,AMAZON,ap-southeast-4
16.50.70.0/23,IPv4,AMAZON,ap-southeast-4
16.51.30.0/23,IPv4,AMAZON,ap-southeast-4
16.51.32.0/22,IPv4,AMAZON,ap-southeast-4
3.5.40.0/22,IPv4,S3,ap-southeast-4
52.95.168.0/24,IPv4,S3,ap-southeast-4
52.95.166.0/23,IPv4,S3,ap-southeast-4
16.50.69.192/28,IPv4,S3,ap-southeast-4
16.50.69.208/28,IPv4,S3,ap-southeast-4
3.5.40.0/22,IPv4,EC2,ap-southeast-4
52.94.250.16/28,IPv4,EC2,ap-southeast-4
70.232.86.125/32,IPv4,EC2,ap-southeast-4
16.26.0.0/16,IPv4,EC2,ap-southeast-4
35.71.112.0/24,IPv4,EC2,ap-southeast-4
99.151.72.0/21,IPv4,EC2,ap-southeast-4
18.99.192.0/20,IPv4,EC2,ap-southeast-4
16.50.0.0/15,IPv4,EC2,ap-southeast-4
70.232.86.126/32,IPv4,EC2,ap-southeast-4
70.232.86.124/32,IPv4,EC2,ap-southeast-4
15.177.96.0/24,IPv4,EC2,ap-southeast-4
15.177.96.0/24,IPv4,ROUTE53_HEALTHCHECKS_PUBLISHING,ap-southeast-4
16.50.248.32/28,IPv4,CODEBUILD,ap-southeast-4
16.50.184.0/23,IPv4,API_GATEWAY,ap-southeast-4
16.50.66.0/24,IPv4,API_GATEWAY,ap-southeast-4
16.50.67.0/26,IPv4,ROUTE53_RESOLVER,ap-southeast-4
16.50.67.128/26,IPv4,ROUTE53_RESOLVER,ap-southeast-4
16.50.67.64/26,IPv4,ROUTE53_RESOLVER,ap-southeast-4
16.50.248.80/29,IPv4,EC2_INSTANCE_CONNECT,ap-southeast-4
16.51.86.16/29,IPv4,MEDIA_PACKAGE_V2,ap-southeast-4
16.51.86.8/29,IPv4,MEDIA_PACKAGE_V2,ap-southeast-4
13.248.67.0/24,IPv4,DYNAMODB,ap-southeast-4
35.71.112.0/24,IPv4,DYNAMODB,ap-southeast-4
2406:da70:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:daf0:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:da36:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:da61:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:da60:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:da00:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:daf8:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:dafb:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:daf9:f000::/40,IPv6,AMAZON,ap-southeast-4
2406:da2f::/36,IPv6,AMAZON,ap-southeast-4
