ip_address,ip_type,service,region
15.230.177.0/24,IPv4,AMAZON,me-central-1
40.172.0.0/16,IPv4,AMAZON,me-central-1
52.95.187.0/24,IPv4,AMAZON,me-central-1
35.71.104.0/24,IPv4,AMAZON,me-central-1
40.173.0.0/16,IPv4,AMAZON,me-central-1
15.230.219.0/24,IPv4,AMAZON,me-central-1
99.77.0.0/20,IPv4,AMAZON,me-central-1
3.5.48.0/22,IPv4,AMAZON,me-central-1
51.112.0.0/16,IPv4,AMAZON,me-central-1
35.54.54.0/24,IPv4,AMAZON,me-central-1
18.96.96.0/19,IPv4,AMAZON,me-central-1
40.174.0.0/15,IPv4,AMAZON,me-central-1
150.222.50.0/27,IPv4,AMAZON,me-central-1
54.137.0.0/16,IPv4,AMAZON,me-central-1
99.150.120.0/21,IPv4,AMAZON,me-central-1
150.222.49.192/27,IPv4,AMAZON,me-central-1
158.252.0.0/15,IPv4,AMAZON,me-central-1
150.222.49.224/27,IPv4,AMAZON,me-central-1
54.136.0.0/16,IPv4,AMAZON,me-central-1
51.0.88.0/21,IPv4,AMAZON,me-central-1
99.77.24.0/22,IPv4,AMAZON,me-central-1
52.94.249.224/28,IPv4,AMAZON,me-central-1
52.95.188.0/23,IPv4,AMAZON,me-central-1
64.252.97.0/24,IPv4,AMAZON,me-central-1
3.2.73.0/24,IPv4,AMAZON,me-central-1
54.239.1.176/28,IPv4,AMAZON,me-central-1
13.248.66.0/24,IPv4,AMAZON,me-central-1
99.77.16.0/21,IPv4,AMAZON,me-central-1
15.177.93.0/24,IPv4,AMAZON,me-central-1
3.28.0.0/15,IPv4,AMAZON,me-central-1
51.0.80.0/21,IPv4,AMAZON,me-central-1
3.28.211.128/25,IPv4,AMAZON,me-central-1
3.28.229.0/24,IPv4,AMAZON,me-central-1
3.28.255.128/25,IPv4,AMAZON,me-central-1
3.28.72.0/23,IPv4,AMAZON,me-central-1
3.29.156.0/22,IPv4,AMAZON,me-central-1
3.29.160.0/23,IPv4,AMAZON,me-central-1
3.29.17.0/25,IPv4,AMAZON,me-central-1
3.29.17.128/25,IPv4,AMAZON,me-central-1
3.29.3.128/25,IPv4,AMAZON,me-central-1
52.95.187.0/24,IPv4,S3,me-central-1
3.5.48.0/22,IPv4,S3,me-central-1
52.95.188.0/23,IPv4,S3,me-central-1
3.28.70.112/28,IPv4,S3,me-central-1
3.28.70.48/28,IPv4,S3,me-central-1
3.28.70.96/28,IPv4,S3,me-central-1
3.29.147.48/28,IPv4,S3,me-central-1
3.29.202.240/28,IPv4,S3,me-central-1
51.112.11.64/28,IPv4,S3,me-central-1
51.112.11.80/28,IPv4,S3,me-central-1
51.112.196.0/22,IPv4,WORKSPACES_GATEWAYS,me-central-1
40.172.0.0/16,IPv4,EC2,me-central-1
35.71.104.0/24,IPv4,EC2,me-central-1
3.5.48.0/22,IPv4,EC2,me-central-1
51.112.0.0/16,IPv4,EC2,me-central-1
35.54.54.0/24,IPv4,EC2,me-central-1
18.96.96.0/19,IPv4,EC2,me-central-1
99.150.120.0/21,IPv4,EC2,me-central-1
158.252.0.0/15,IPv4,EC2,me-central-1
51.0.88.0/21,IPv4,EC2,me-central-1
52.94.249.224/28,IPv4,EC2,me-central-1
64.252.97.0/24,IPv4,EC2,me-central-1
3.2.73.0/24,IPv4,EC2,me-central-1
15.177.93.0/24,IPv4,EC2,me-central-1
3.28.0.0/15,IPv4,EC2,me-central-1
51.0.80.0/21,IPv4,EC2,me-central-1
3.29.40.128/26,IPv4,CLOUDFRONT,me-central-1
3.29.40.192/26,IPv4,CLOUDFRONT,me-central-1
3.29.40.64/26,IPv4,CLOUDFRONT,me-central-1
3.29.57.0/26,IPv4,CLOUDFRONT,me-central-1
15.177.93.0/24,IPv4,ROUTE53_HEALTHCHECKS_PUBLISHING,me-central-1
3.29.57.0/26,IPv4,CLOUDFRONT_ORIGIN_FACING,me-central-1
3.28.255.80/28,IPv4,CODEBUILD,me-central-1
3.28.64.0/24,IPv4,API_GATEWAY,me-central-1
3.29.89.0/24,IPv4,API_GATEWAY,me-central-1
51.112.20.0/23,IPv4,API_GATEWAY,me-central-1
3.28.63.128/26,IPv4,ROUTE53_RESOLVER,me-central-1
3.28.63.192/26,IPv4,ROUTE53_RESOLVER,me-central-1
3.28.65.0/26,IPv4,ROUTE53_RESOLVER,me-central-1
3.29.147.40/29,IPv4,EC2_INSTANCE_CONNECT,me-central-1
40.172.11.104/29,IPv4,MEDIA_PACKAGE_V2,me-central-1
40.172.11.96/29,IPv4,MEDIA_PACKAGE_V2,me-central-1
35.71.104.0/24,IPv4,DYNAMODB,me-central-1
13.248.66.0/24,IPv4,DYNAMODB,me-central-1
2406:da36:7000::/40,IPv6,AMAZON,me-central-1
2406:daa0:7000::/40,IPv6,AMAZON,me-central-1
2406:da61:7000::/40,IPv6,AMAZON,me-central-1
2406:da32:7000::/40,IPv6,AMAZON,me-central-1
2406:da30:7000::/40,IPv6,AMAZON,me-central-1
