ip_address,ip_type,service,region
23.254.120.0/21,IPv4,AMAZON,sa-west-1
13.248.81.0/24,IPv4,AMAZON,sa-west-1
83.160.0.0/15,IPv4,AMAZON,sa-west-1
76.223.170.128/28,IPv4,AMAZON,sa-west-1
52.94.250.176/28,IPv4,AMAZON,sa-west-1
15.190.160.0/20,IPv4,AMAZON,sa-west-1
15.190.232.0/22,IPv4,AMAZON,sa-west-1
23.254.120.0/21,IPv4,EC2,sa-west-1
83.160.0.0/15,IPv4,EC2,sa-west-1
52.94.250.176/28,IPv4,EC2,sa-west-1
13.248.81.0/24,IPv4,DYNAMODB,sa-west-1
2600:1f2e:c000::/36,IPv6,AMAZON,sa-west-1
2600:1f1e:c000::/36,IPv6,AMAZON,sa-west-1
2600:1f2e:c000::/36,IPv6,EC2,sa-west-1
2600:1f1e:c000::/36,IPv6,EC2,sa-west-1
