ip_address,ip_type,service,region
52.119.208.0/23,IPv4,AMAZON,us-gov-west-1
15.205.0.0/16,IPv4,AMAZON,us-gov-west-1
52.95.100.0/22,IPv4,AMAZON,us-gov-west-1
108.175.56.0/22,IPv4,AMAZON,us-gov-west-1
52.94.152.184/32,IPv4,AMAZON,us-gov-west-1
136.18.0.0/23,IPv4,AMAZON,us-gov-west-1
76.223.168.0/24,IPv4,AMAZON,us-gov-west-1
56.137.0.0/16,IPv4,AMAZON,us-gov-west-1
3.30.0.0/15,IPv4,AMAZON,us-gov-west-1
56.136.0.0/16,IPv4,AMAZON,us-gov-west-1
52.94.152.189/32,IPv4,AMAZON,us-gov-west-1
160.1.0.0/16,IPv4,AMAZON,us-gov-west-1
3.32.0.0/16,IPv4,AMAZON,us-gov-west-1
52.94.152.190/32,IPv4,AMAZON,us-gov-west-1
52.94.152.191/32,IPv4,AMAZON,us-gov-west-1
52.46.224.0/20,IPv4,AMAZON,us-gov-west-1
52.61.0.0/16,IPv4,AMAZON,us-gov-west-1
40.39.0.0/16,IPv4,AMAZON,us-gov-west-1
52.94.248.224/28,IPv4,AMAZON,us-gov-west-1
56.139.0.0/16,IPv4,AMAZON,us-gov-west-1
52.94.152.195/32,IPv4,AMAZON,us-gov-west-1
13.166.0.0/15,IPv4,AMAZON,us-gov-west-1
52.94.152.187/32,IPv4,AMAZON,us-gov-west-1
56.138.0.0/16,IPv4,AMAZON,us-gov-west-1
18.99.240.0/20,IPv4,AMAZON,us-gov-west-1
108.175.48.0/22,IPv4,AMAZON,us-gov-west-1
99.77.184.0/24,IPv4,AMAZON,us-gov-west-1
52.94.152.185/32,IPv4,AMAZON,us-gov-west-1
96.127.0.0/17,IPv4,AMAZON,us-gov-west-1
3.4.16.0/21,IPv4,AMAZON,us-gov-west-1
52.94.9.0/24,IPv4,AMAZON,us-gov-west-1
35.71.116.0/24,IPv4,AMAZON,us-gov-west-1
52.94.198.32/28,IPv4,AMAZON,us-gov-west-1
205.251.236.0/22,IPv4,AMAZON,us-gov-west-1
52.222.0.0/17,IPv4,AMAZON,us-gov-west-1
52.94.152.186/32,IPv4,AMAZON,us-gov-west-1
15.200.0.0/16,IPv4,AMAZON,us-gov-west-1
54.239.0.128/28,IPv4,AMAZON,us-gov-west-1
52.94.152.188/32,IPv4,AMAZON,us-gov-west-1
52.94.152.192/32,IPv4,AMAZON,us-gov-west-1
52.94.152.194/32,IPv4,AMAZON,us-gov-west-1
52.94.152.193/32,IPv4,AMAZON,us-gov-west-1
75.79.0.0/16,IPv4,AMAZON,us-gov-west-1
40.38.0.0/16,IPv4,AMAZON,us-gov-west-1
52.46.176.0/22,IPv4,AMAZON,us-gov-west-1
18.96.8.0/21,IPv4,AMAZON,us-gov-west-1
15.200.150.0/23,IPv4,AMAZON,us-gov-west-1
15.200.176.192/26,IPv4,AMAZON,us-gov-west-1
15.205.2.192/26,IPv4,AMAZON,us-gov-west-1
3.30.98.128/26,IPv4,AMAZON,us-gov-west-1
3.30.98.64/26,IPv4,AMAZON,us-gov-west-1
3.32.190.0/25,IPv4,AMAZON,us-gov-west-1
56.136.0.192/26,IPv4,AMAZON,us-gov-west-1
56.136.121.0/25,IPv4,AMAZON,us-gov-west-1
56.136.224.0/23,IPv4,AMAZON,us-gov-west-1
160.1.55.0/25,IPv4,ROUTE53_HEALTHCHECKS,us-gov-west-1
160.1.55.128/25,IPv4,ROUTE53_HEALTHCHECKS,us-gov-west-1
160.1.56.0/25,IPv4,ROUTE53_HEALTHCHECKS,us-gov-west-1
108.175.56.0/22,IPv4,S3,us-gov-west-1
136.18.0.0/23,IPv4,S3,us-gov-west-1
108.175.48.0/22,IPv4,S3,us-gov-west-1
15.200.176.128/28,IPv4,S3,us-gov-west-1
15.200.28.240/28,IPv4,S3,us-gov-west-1
3.30.129.0/24,IPv4,WORKSPACES_GATEWAYS,us-gov-west-1
3.30.130.0/23,IPv4,WORKSPACES_GATEWAYS,us-gov-west-1
3.32.139.0/24,IPv4,WORKSPACES_GATEWAYS,us-gov-west-1
52.61.193.0/24,IPv4,WORKSPACES_GATEWAYS,us-gov-west-1
15.205.0.0/16,IPv4,EC2,us-gov-west-1
108.175.56.0/22,IPv4,EC2,us-gov-west-1
136.18.0.0/23,IPv4,EC2,us-gov-west-1
56.137.0.0/16,IPv4,EC2,us-gov-west-1
3.30.0.0/15,IPv4,EC2,us-gov-west-1
56.136.0.0/16,IPv4,EC2,us-gov-west-1
160.1.0.0/16,IPv4,EC2,us-gov-west-1
3.32.0.0/16,IPv4,EC2,us-gov-west-1
52.61.0.0/16,IPv4,EC2,us-gov-west-1
52.94.248.224/28,IPv4,EC2,us-gov-west-1
18.99.240.0/20,IPv4,EC2,us-gov-west-1
99.77.184.0/24,IPv4,EC2,us-gov-west-1
96.127.0.0/17,IPv4,EC2,us-gov-west-1
3.4.16.0/21,IPv4,EC2,us-gov-west-1
35.71.116.0/24,IPv4,EC2,us-gov-west-1
52.222.0.0/17,IPv4,EC2,us-gov-west-1
15.200.0.0/16,IPv4,EC2,us-gov-west-1
18.96.8.0/21,IPv4,EC2,us-gov-west-1
15.200.28.88/29,IPv4,CODEBUILD,us-gov-west-1
52.61.40.104/29,IPv4,CODEBUILD,us-gov-west-1
15.200.141.0/25,IPv4,API_GATEWAY,us-gov-west-1
15.205.82.0/23,IPv4,API_GATEWAY,us-gov-west-1
15.205.84.0/23,IPv4,API_GATEWAY,us-gov-west-1
160.1.128.0/24,IPv4,API_GATEWAY,us-gov-west-1
3.30.204.0/24,IPv4,API_GATEWAY,us-gov-west-1
15.200.141.128/25,IPv4,ROUTE53_RESOLVER,us-gov-west-1
15.200.176.0/25,IPv4,ROUTE53_RESOLVER,us-gov-west-1
15.200.27.96/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
15.200.28.0/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
15.200.28.32/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
3.32.190.128/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
3.32.190.160/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
3.32.249.128/25,IPv4,ROUTE53_RESOLVER,us-gov-west-1
3.32.43.160/27,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.16/28,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.32/28,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.48/29,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.56/29,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.64/29,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.72/29,IPv4,ROUTE53_RESOLVER,us-gov-west-1
52.61.40.80/29,IPv4,ROUTE53_RESOLVER,us-gov-west-1
3.32.190.244/30,IPv4,EBS,us-gov-west-1
3.32.190.248/29,IPv4,EBS,us-gov-west-1
15.200.28.80/30,IPv4,EC2_INSTANCE_CONNECT,us-gov-west-1
3.30.40.84/30,IPv4,KINESIS_VIDEO_STREAMS,us-gov-west-1
52.94.9.0/24,IPv4,DYNAMODB,us-gov-west-1
35.71.116.0/24,IPv4,DYNAMODB,us-gov-west-1
2600:1ff6:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1fff:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f30:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1fa0:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f60:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ff7:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f36:2000::/40,IPv6,AMAZON,us-gov-west-1
2620:108:d000::/44,IPv6,AMAZON,us-gov-west-1
2620:107:4000:7400::/56,IPv6,AMAZON,us-gov-west-1
2600:1f12::/36,IPv6,AMAZON,us-gov-west-1
2600:1ff0:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f38:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1fed:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f00:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1fef:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f69:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ff8:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ff9:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ffb:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ff4:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f68:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ffc:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f32:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ff2:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f70:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f22::/36,IPv6,AMAZON,us-gov-west-1
2600:1ffa:2000::/40,IPv6,AMAZON,us-gov-west-1
2620:107:4000:5::/64,IPv6,AMAZON,us-gov-west-1
2600:1fb9:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1f61:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1ffe:2000::/40,IPv6,AMAZON,us-gov-west-1
2600:1fa0:2000::/40,IPv6,S3,us-gov-west-1
2600:1f60:2000::/40,IPv6,S3,us-gov-west-1
2600:1ff0:2000::/40,IPv6,S3,us-gov-west-1
2600:1fed:2000::/40,IPv6,S3,us-gov-west-1
2600:1ff8:2000::/40,IPv6,S3,us-gov-west-1
2600:1ff9:2000::/40,IPv6,S3,us-gov-west-1
2600:1f68:2000::/40,IPv6,S3,us-gov-west-1
2600:1ffa:2000::/40,IPv6,S3,us-gov-west-1
2600:1f32:2000::/40,IPv6,WORKSPACES_GATEWAYS,us-gov-west-1
2600:1f22:28::/48,IPv6,WORKSPACES_GATEWAYS,us-gov-west-1
2600:1ff6:2000::/40,IPv6,EC2,us-gov-west-1
2600:1fff:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f30:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f60:2000::/40,IPv6,EC2,us-gov-west-1
2600:1ff7:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f36:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f12::/36,IPv6,EC2,us-gov-west-1
2600:1ff0:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f38:2000::/40,IPv6,EC2,us-gov-west-1
2600:1fed:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f00:2000::/40,IPv6,EC2,us-gov-west-1
2600:1fef:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f69:2000::/40,IPv6,EC2,us-gov-west-1
2600:1ffb:2000::/40,IPv6,EC2,us-gov-west-1
2620:108:d00f::/64,IPv6,EC2,us-gov-west-1
2600:1ff4:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f68:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f32:2000::/40,IPv6,EC2,us-gov-west-1
2600:1ff2:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f70:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f22::/36,IPv6,EC2,us-gov-west-1
2600:1fb9:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f61:2000::/40,IPv6,EC2,us-gov-west-1
2600:1f12:fa9:5100::/56,IPv6,EC2_INSTANCE_CONNECT,us-gov-west-1
