ip_address,ip_type,service,region
120.52.22.96/27,IPv4,CLOUDFRONT,GLOBAL
23.228.222.0/24,IPv4,CLOUDFRONT,GLOBAL
205.251.249.0/24,IPv4,CLOUDFRONT,GLOBAL
180.163.57.128/26,IPv4,CLOUDFRONT,GLOBAL
23.228.220.0/24,IPv4,CLOUDFRONT,GLOBAL
204.246.168.0/22,IPv4,CLOUDFRONT,GLOBAL
111.13.171.128/26,IPv4,CLOUDFRONT,GLOBAL
18.160.0.0/15,IPv4,CLOUDFRONT,GLOBAL
205.251.252.0/23,IPv4,CLOUDFRONT,GLOBAL
54.192.0.0/16,IPv4,CLOUDFRONT,GLOBAL
204.246.173.0/24,IPv4,CLOUDFRONT,GLOBAL
54.230.200.0/21,IPv4,CLOUDFRONT,GLOBAL
120.253.240.192/26,IPv4,CLOUDFRONT,GLOBAL
116.129.226.128/26,IPv4,CLOUDFRONT,GLOBAL
130.176.0.0/17,IPv4,CLOUDFRONT,GLOBAL
3.173.192.0/18,IPv4,CLOUDFRONT,GLOBAL
108.156.0.0/14,IPv4,CLOUDFRONT,GLOBAL
99.86.0.0/16,IPv4,CLOUDFRONT,GLOBAL
13.32.0.0/15,IPv4,CLOUDFRONT,GLOBAL
120.253.245.128/26,IPv4,CLOUDFRONT,GLOBAL
13.224.0.0/14,IPv4,CLOUDFRONT,GLOBAL
70.132.0.0/18,IPv4,CLOUDFRONT,GLOBAL
15.158.0.0/16,IPv4,CLOUDFRONT,GLOBAL
111.13.171.192/26,IPv4,CLOUDFRONT,GLOBAL
13.249.0.0/16,IPv4,CLOUDFRONT,GLOBAL
18.238.0.0/15,IPv4,CLOUDFRONT,GLOBAL
18.244.0.0/15,IPv4,CLOUDFRONT,GLOBAL
205.251.208.0/20,IPv4,CLOUDFRONT,GLOBAL
3.165.0.0/16,IPv4,CLOUDFRONT,GLOBAL
3.168.0.0/14,IPv4,CLOUDFRONT,GLOBAL
65.9.128.0/18,IPv4,CLOUDFRONT,GLOBAL
130.176.128.0/18,IPv4,CLOUDFRONT,GLOBAL
23.228.221.0/24,IPv4,CLOUDFRONT,GLOBAL
58.254.138.0/25,IPv4,CLOUDFRONT,GLOBAL
205.251.206.0/23,IPv4,CLOUDFRONT,GLOBAL
54.230.208.0/20,IPv4,CLOUDFRONT,GLOBAL
3.160.0.0/14,IPv4,CLOUDFRONT,GLOBAL
116.129.226.0/25,IPv4,CLOUDFRONT,GLOBAL
23.91.0.0/19,IPv4,CLOUDFRONT,GLOBAL
52.222.128.0/17,IPv4,CLOUDFRONT,GLOBAL
18.164.0.0/15,IPv4,CLOUDFRONT,GLOBAL
111.13.185.32/27,IPv4,CLOUDFRONT,GLOBAL
64.252.128.0/18,IPv4,CLOUDFRONT,GLOBAL
205.251.254.0/24,IPv4,CLOUDFRONT,GLOBAL
3.166.0.0/15,IPv4,CLOUDFRONT,GLOBAL
54.230.224.0/19,IPv4,CLOUDFRONT,GLOBAL
71.152.0.0/17,IPv4,CLOUDFRONT,GLOBAL
216.137.32.0/19,IPv4,CLOUDFRONT,GLOBAL
204.246.172.0/24,IPv4,CLOUDFRONT,GLOBAL
205.251.202.0/23,IPv4,CLOUDFRONT,GLOBAL
18.172.0.0/15,IPv4,CLOUDFRONT,GLOBAL
120.52.39.128/27,IPv4,CLOUDFRONT,GLOBAL
118.193.97.64/26,IPv4,CLOUDFRONT,GLOBAL
3.164.64.0/18,IPv4,CLOUDFRONT,GLOBAL
18.154.0.0/15,IPv4,CLOUDFRONT,GLOBAL
3.173.0.0/17,IPv4,CLOUDFRONT,GLOBAL
54.240.128.0/18,IPv4,CLOUDFRONT,GLOBAL
205.251.250.0/23,IPv4,CLOUDFRONT,GLOBAL
180.163.57.0/25,IPv4,CLOUDFRONT,GLOBAL
52.46.0.0/18,IPv4,CLOUDFRONT,GLOBAL
3.174.0.0/15,IPv4,CLOUDFRONT,GLOBAL
52.82.128.0/19,IPv4,CLOUDFRONT,GLOBAL
54.230.0.0/17,IPv4,CLOUDFRONT,GLOBAL
54.230.128.0/18,IPv4,CLOUDFRONT,GLOBAL
54.239.128.0/18,IPv4,CLOUDFRONT,GLOBAL
130.176.224.0/20,IPv4,CLOUDFRONT,GLOBAL
36.103.232.128/26,IPv4,CLOUDFRONT,GLOBAL
52.84.0.0/15,IPv4,CLOUDFRONT,GLOBAL
143.204.0.0/16,IPv4,CLOUDFRONT,GLOBAL
144.220.0.0/16,IPv4,CLOUDFRONT,GLOBAL
120.52.153.192/26,IPv4,CLOUDFRONT,GLOBAL
119.147.182.0/25,IPv4,CLOUDFRONT,GLOBAL
120.232.236.0/25,IPv4,CLOUDFRONT,GLOBAL
111.13.185.64/27,IPv4,CLOUDFRONT,GLOBAL
3.164.0.0/18,IPv4,CLOUDFRONT,GLOBAL
3.172.64.0/18,IPv4,CLOUDFRONT,GLOBAL
54.182.0.0/16,IPv4,CLOUDFRONT,GLOBAL
58.254.138.128/26,IPv4,CLOUDFRONT,GLOBAL
120.253.245.192/27,IPv4,CLOUDFRONT,GLOBAL
54.239.192.0/19,IPv4,CLOUDFRONT,GLOBAL
18.68.0.0/16,IPv4,CLOUDFRONT,GLOBAL
18.64.0.0/14,IPv4,CLOUDFRONT,GLOBAL
120.52.12.64/26,IPv4,CLOUDFRONT,GLOBAL
24.110.32.0/19,IPv4,CLOUDFRONT,GLOBAL
99.84.0.0/16,IPv4,CLOUDFRONT,GLOBAL
205.251.204.0/23,IPv4,CLOUDFRONT,GLOBAL
130.176.192.0/19,IPv4,CLOUDFRONT,GLOBAL
52.124.128.0/17,IPv4,CLOUDFRONT,GLOBAL
204.246.164.0/22,IPv4,CLOUDFRONT,GLOBAL
13.35.0.0/16,IPv4,CLOUDFRONT,GLOBAL
204.246.174.0/23,IPv4,CLOUDFRONT,GLOBAL
3.164.128.0/17,IPv4,CLOUDFRONT,GLOBAL
3.172.0.0/18,IPv4,CLOUDFRONT,GLOBAL
36.103.232.0/25,IPv4,CLOUDFRONT,GLOBAL
119.147.182.128/26,IPv4,CLOUDFRONT,GLOBAL
118.193.97.128/25,IPv4,CLOUDFRONT,GLOBAL
120.232.236.128/26,IPv4,CLOUDFRONT,GLOBAL
204.246.176.0/20,IPv4,CLOUDFRONT,GLOBAL
65.8.0.0/16,IPv4,CLOUDFRONT,GLOBAL
65.9.0.0/17,IPv4,CLOUDFRONT,GLOBAL
108.138.0.0/15,IPv4,CLOUDFRONT,GLOBAL
120.253.241.160/27,IPv4,CLOUDFRONT,GLOBAL
3.173.128.0/18,IPv4,CLOUDFRONT,GLOBAL
64.252.64.0/18,IPv4,CLOUDFRONT,GLOBAL
