ip_address,ip_type,service,region
35.50.192.0/24,IPv4,IVS_REALTIME,eu-central-1
99.181.64.0/18,IPv4,IVS_REALTIME,GLOBAL
35.50.211.0/24,IPv4,IVS_REALTIME,me-south-1
35.50.229.0/24,IPv4,IVS_REALTIME,ap-northeast-3
35.50.143.0/24,IPv4,IVS_REALTIME,us-east-2
35.50.197.0/24,IPv4,IVS_REALTIME,eu-west-1
35.50.140.0/24,IPv4,IVS_REALTIME,us-east-1
35.50.212.0/24,IPv4,IVS_REALTIME,me-south-1
35.50.226.0/24,IPv4,IVS_REALTIME,ap-northeast-1
35.50.133.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.139.0/24,IPv4,IVS_REALTIME,us-east-1
35.50.227.0/24,IPv4,IVS_REALTIME,ap-northeast-1
35.50.233.0/24,IPv4,IVS_REALTIME,ap-south-1
35.50.132.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.225.0/24,IPv4,IVS_REALTIME,ap-northeast-1
35.50.137.0/24,IPv4,IVS_REALTIME,us-east-1
35.50.236.0/24,IPv4,IVS_REALTIME,ap-southeast-1
35.50.208.0/24,IPv4,IVS_REALTIME,me-south-1
35.50.216.0/24,IPv4,IVS_REALTIME,me-central-1
35.50.213.0/24,IPv4,IVS_REALTIME,me-south-1
45.113.128.0/22,IPv4,IVS_REALTIME,GLOBAL
35.50.129.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.210.0/24,IPv4,IVS_REALTIME,me-south-1
35.50.231.0/24,IPv4,IVS_REALTIME,ap-south-1
35.50.134.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.176.0/24,IPv4,IVS_REALTIME,sa-east-1
35.50.141.0/24,IPv4,IVS_REALTIME,us-east-1
185.42.204.0/22,IPv4,IVS_REALTIME,GLOBAL
192.108.239.0/24,IPv4,IVS_REALTIME,GLOBAL
103.53.48.0/22,IPv4,IVS_REALTIME,GLOBAL
35.50.177.0/24,IPv4,IVS_REALTIME,sa-east-1
52.129.131.0/24,IPv4,IVS_REALTIME,eu-west-3
35.50.130.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.138.0/24,IPv4,IVS_REALTIME,us-east-1
35.50.194.0/24,IPv4,IVS_REALTIME,eu-central-1
35.50.235.0/24,IPv4,IVS_REALTIME,ap-southeast-1
35.50.128.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.135.0/24,IPv4,IVS_REALTIME,us-west-2
23.160.0.0/24,IPv4,IVS_REALTIME,GLOBAL
35.50.193.0/24,IPv4,IVS_REALTIME,eu-central-1
35.50.228.0/24,IPv4,IVS_REALTIME,ap-northeast-3
35.50.195.0/24,IPv4,IVS_REALTIME,eu-west-1
35.50.224.0/24,IPv4,IVS_REALTIME,ap-northeast-1
35.50.196.0/24,IPv4,IVS_REALTIME,eu-west-1
35.50.232.0/24,IPv4,IVS_REALTIME,ap-south-1
35.50.144.0/24,IPv4,IVS_REALTIME,us-east-2
35.50.142.0/24,IPv4,IVS_REALTIME,us-east-2
35.50.215.0/24,IPv4,IVS_REALTIME,me-central-1
35.50.234.0/24,IPv4,IVS_REALTIME,ap-southeast-1
35.50.217.0/24,IPv4,IVS_REALTIME,me-central-1
192.16.64.0/21,IPv4,IVS_REALTIME,GLOBAL
35.50.230.0/24,IPv4,IVS_REALTIME,ap-northeast-3
52.129.130.0/24,IPv4,IVS_REALTIME,eu-west-1
35.50.178.0/24,IPv4,IVS_REALTIME,sa-east-1
35.50.214.0/24,IPv4,IVS_REALTIME,me-south-1
52.223.192.0/18,IPv4,IVS_REALTIME,GLOBAL
199.9.248.0/21,IPv4,IVS_REALTIME,GLOBAL
35.50.131.0/24,IPv4,IVS_REALTIME,us-west-2
35.50.136.0/24,IPv4,IVS_REALTIME,us-east-1
2600:f0f0:5516::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:5512::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:5514::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:5518::/48,IPv6,IVS_REALTIME,us-east-1
2600:f0f0:5517::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:5510::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:5513::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:551f::/48,IPv6,IVS_REALTIME,us-east-1
2600:f0f0:5511::/48,IPv6,IVS_REALTIME,us-west-2
2600:f0f0:551b::/48,IPv6,IVS_REALTIME,us-east-1
2600:f0f0:5515::/48,IPv6,IVS_REALTIME,us-west-2
