ip_address,ip_type,service,region
4.200.251.84/30,IPv4,ActionGroup.AustraliaSoutheast,australiasoutheast
13.77.53.216/30,IPv4,ActionGroup.AustraliaSoutheast,australiasoutheast
20.92.5.114/31,IPv4,ActionGroup.AustraliaSoutheast,australiasoutheast
2603:1010:101::10c/126,IPv6,ActionGroup.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::178/125,IPv6,ActionGroup.AustraliaSoutheast,australiasoutheast
4.199.83.96/28,IPv4,ApiManagement.AustraliaSoutheast,australiasoutheast
13.77.50.68/31,IPv4,ApiManagement.AustraliaSoutheast,australiasoutheast
13.77.52.224/28,IPv4,ApiManagement.AustraliaSoutheast,australiasoutheast
20.40.160.107/32,IPv4,ApiManagement.AustraliaSoutheast,australiasoutheast
20.92.3.250/31,IPv4,ApiManagement.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::140/124,IPv6,ApiManagement.AustraliaSoutheast,australiasoutheast
2603:1010:207::3c0/124,IPv6,ApiManagement.AustraliaSoutheast,australiasoutheast
13.70.146.110/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
13.70.147.206/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
13.73.116.45/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
13.73.118.104/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
13.77.7.175/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
13.77.50.96/27,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.42.228.160/27,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.92.48.0/22,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.92.52.0/23,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.92.54.0/24,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.92.55.0/25,IPv4,AppService.AustraliaSoutheast,australiasoutheast
20.92.55.128/27,IPv4,AppService.AustraliaSoutheast,australiasoutheast
23.101.224.24/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
23.101.230.162/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
52.189.213.49/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
52.255.35.249/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
52.255.54.134/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
191.239.188.11/32,IPv4,AppService.AustraliaSoutheast,australiasoutheast
2603:1010:101:3::/117,IPv6,AppService.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::a0/123,IPv6,AppService.AustraliaSoutheast,australiasoutheast
4.199.85.64/26,IPv4,AppServiceManagement.AustraliaSoutheast,australiasoutheast
13.77.50.128/26,IPv4,AppServiceManagement.AustraliaSoutheast,australiasoutheast
20.92.4.160/28,IPv4,AppServiceManagement.AustraliaSoutheast,australiasoutheast
23.101.234.41/32,IPv4,AppServiceManagement.AustraliaSoutheast,australiasoutheast
48.215.155.64/29,IPv4,AppServiceManagement.AustraliaSoutheast,australiasoutheast
2603:1010:101:1::4a0/123,IPv6,AppServiceManagement.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::100/122,IPv6,AppServiceManagement.AustraliaSoutheast,australiasoutheast
2603:1010:207::740/122,IPv6,AppServiceManagement.AustraliaSoutheast,australiasoutheast
4.200.250.192/31,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
13.77.53.221/32,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
20.42.228.216/30,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
20.211.230.248/29,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
104.46.162.2/32,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
104.46.162.28/30,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
104.46.163.96/29,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
104.46.178.0/30,IPv4,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
2603:1010:207::710/124,IPv6,AzureArcInfrastructure.AustraliaSoutheast,australiasoutheast
4.199.42.232/29,IPv4,AzureAttestation.AustraliaSoutheast,australiasoutheast
104.46.162.16/30,IPv4,AzureAttestation.AustraliaSoutheast,australiasoutheast
104.46.179.240/30,IPv4,AzureAttestation.AustraliaSoutheast,australiasoutheast
2603:1010:207::3e0/124,IPv6,AzureAttestation.AustraliaSoutheast,australiasoutheast
13.77.52.32/27,IPv4,AzureBackup.AustraliaSoutheast,australiasoutheast
13.77.52.64/26,IPv4,AzureBackup.AustraliaSoutheast,australiasoutheast
104.46.183.64/26,IPv4,AzureBackup.AustraliaSoutheast,australiasoutheast
2603:1010:101:7::680/121,IPv6,AzureBackup.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::200/121,IPv6,AzureBackup.AustraliaSoutheast,australiasoutheast
13.77.53.80/30,IPv4,AzureBotService.AustraliaSoutheast,australiasoutheast
20.42.224.64/30,IPv4,AzureBotService.AustraliaSoutheast,australiasoutheast
2603:1010:101::20/123,IPv6,AzureBotService.AustraliaSoutheast,australiasoutheast
