ip_address,ip_type,service,region
20.170.175.8/30,IPv4,ActionGroup.GermanyNorth,germanyn
2603:1020:d04::10c/126,IPv6,ActionGroup.GermanyNorth,germanyn
2603:1020:d04:402::178/125,IPv6,ActionGroup.GermanyNorth,germanyn
20.113.251.240/28,IPv4,ApiManagement.GermanyNorth,germanyn
51.116.0.0/32,IPv4,ApiManagement.GermanyNorth,germanyn
51.116.59.0/28,IPv4,ApiManagement.GermanyNorth,germanyn
2603:1020:d04:2::630/124,IPv6,ApiManagement.GermanyNorth,germanyn
2603:1020:d04:402::140/124,IPv6,ApiManagement.GermanyNorth,germanyn
51.116.49.32/27,IPv4,AppService.GermanyNorth,germanyn
51.116.58.160/27,IPv4,AppService.GermanyNorth,germanyn
51.116.75.128/25,IPv4,AppService.GermanyNorth,germanyn
51.116.76.0/24,IPv4,AppService.GermanyNorth,germanyn
51.116.77.0/29,IPv4,AppService.GermanyNorth,germanyn
2603:1020:d04:2::200/119,IPv6,AppService.GermanyNorth,germanyn
2603:1020:d04:402::a0/123,IPv6,AppService.GermanyNorth,germanyn
51.116.58.192/26,IPv4,AppServiceManagement.GermanyNorth,germanyn
51.116.75.96/28,IPv4,AppServiceManagement.GermanyNorth,germanyn
51.116.208.94/32,IPv4,AppServiceManagement.GermanyNorth,germanyn
2603:1020:d04:1::480/123,IPv6,AppServiceManagement.GermanyNorth,germanyn
2603:1020:d04:402::100/122,IPv6,AppServiceManagement.GermanyNorth,germanyn
20.52.72.60/30,IPv4,AzureArcInfrastructure.GermanyNorth,germanyn
20.113.251.38/31,IPv4,AzureArcInfrastructure.GermanyNorth,germanyn
20.170.175.0/29,IPv4,AzureArcInfrastructure.GermanyNorth,germanyn
51.116.49.136/30,IPv4,AzureArcInfrastructure.GermanyNorth,germanyn
2603:1020:d04:5::4c0/124,IPv6,AzureArcInfrastructure.GermanyNorth,germanyn
20.52.72.44/30,IPv4,AzureAttestation.GermanyNorth,germanyn
51.116.54.72/30,IPv4,AzureAttestation.GermanyNorth,germanyn
2603:1020:d04:2::650/124,IPv6,AzureAttestation.GermanyNorth,germanyn
51.116.55.0/26,IPv4,AzureBackup.GermanyNorth,germanyn
51.116.59.64/26,IPv4,AzureBackup.GermanyNorth,germanyn
51.116.59.128/27,IPv4,AzureBackup.GermanyNorth,germanyn
2603:1020:d04:2::700/121,IPv6,AzureBackup.GermanyNorth,germanyn
2603:1020:d04:402::200/121,IPv6,AzureBackup.GermanyNorth,germanyn
51.116.48.64/30,IPv4,AzureBotService.GermanyNorth,germanyn
2603:1020:d04::20/123,IPv6,AzureBotService.GermanyNorth,germanyn
20.113.251.64/26,IPv4,AzureCognitiveSearch.GermanyNorth,germanyn
51.116.48.96/28,IPv4,AzureCognitiveSearch.GermanyNorth,germanyn
2603:1020:d04::180/121,IPv6,AzureCognitiveSearch.GermanyNorth,germanyn
20.113.206.120/32,IPv4,AzureConnectors.GermanyNorth,germanyn
20.113.207.64/32,IPv4,AzureConnectors.GermanyNorth,germanyn
51.116.55.240/28,IPv4,AzureConnectors.GermanyNorth,germanyn
51.116.59.16/28,IPv4,AzureConnectors.GermanyNorth,germanyn
51.116.60.192/27,IPv4,AzureConnectors.GermanyNorth,germanyn
51.116.74.32/27,IPv4,AzureConnectors.GermanyNorth,germanyn
51.116.211.212/32,IPv4,AzureConnectors.GermanyNorth,germanyn
2603:1020:d04:5::3c0/122,IPv6,AzureConnectors.GermanyNorth,germanyn
2603:1020:d04:402::180/122,IPv6,AzureConnectors.GermanyNorth,germanyn
20.52.72.128/26,IPv4,AzureContainerRegistry.GermanyNorth,germanyn
20.52.73.0/26,IPv4,AzureContainerRegistry.GermanyNorth,germanyn
20.113.252.128/26,IPv4,AzureContainerRegistry.GermanyNorth,germanyn
20.170.175.128/26,IPv4,AzureContainerRegistry.GermanyNorth,germanyn
51.116.58.24/29,IPv4,AzureContainerRegistry.GermanyNorth,germanyn
2603:1020:d04:1::4b0/125,IPv6,AzureContainerRegistry.GermanyNorth,germanyn
2603:1020:d04:5::780/122,IPv6,AzureContainerRegistry.GermanyNorth,germanyn
2603:1020:d04:402::90/125,IPv6,AzureContainerRegistry.GermanyNorth,germanyn
2603:1020:d04:402::340/122,IPv6,AzureContainerRegistry.GermanyNorth,germanyn
2603:1020:d04:402::580/122,IPv6,AzureContainerRegistry.GermanyNorth,germanyn
20.113.248.192/26,IPv4,AzureCosmosDB.GermanyNorth,germanyn
20.113.250.64/26,IPv4,AzureCosmosDB.GermanyNorth,germanyn
20.113.250.128/25,IPv4,AzureCosmosDB.GermanyNorth,germanyn
51.116.1.247/32,IPv4,AzureCosmosDB.GermanyNorth,germanyn
51.116.4.11/32,IPv4,AzureCosmosDB.GermanyNorth,germanyn
51.116.4.76/32,IPv4,AzureCosmosDB.GermanyNorth,germanyn
51.116.50.224/27,IPv4,AzureCosmosDB.GermanyNorth,germanyn
51.116.58.64/26,IPv4,AzureCosmosDB.GermanyNorth,germanyn
2603:1020:d04:2::420/123,IPv6,AzureCosmosDB.GermanyNorth,germanyn
2603:1020:d04:402::c0/122,IPv6,AzureCosmosDB.GermanyNorth,germanyn
20.113.254.32/28,IPv4,AzureDataExplorerManagement.GermanyNorth,germanyn
51.116.59.160/28,IPv4,AzureDataExplorerManagement.GermanyNorth,germanyn
2603:1020:d04:1::380/121,IPv6,AzureDataExplorerManagement.GermanyNorth,germanyn
2603:1020:d04:402::150/124,IPv6,AzureDataExplorerManagement.GermanyNorth,germanyn
51.116.51.176/29,IPv4,AzureDigitalTwins.GermanyNorth,germanyn
51.116.54.0/27,IPv4,AzureDigitalTwins.GermanyNorth,germanyn
2603:1020:d04:2::680/121,IPv6,AzureDigitalTwins.GermanyNorth,germanyn
51.116.3.32/27,IPv4,AzureEventGrid.GermanyNorth,germanyn
51.116.72.0/25,IPv4,AzureEventGrid.GermanyNorth,germanyn
2603:1020:d04::380/121,IPv6,AzureEventGrid.GermanyNorth,germanyn
51.116.58.128/27,IPv4,EventHub.GermanyNorth,germanyn
51.116.73.0/24,IPv4,EventHub.GermanyNorth,germanyn
2603:1020:d04::240/122,IPv6,EventHub.GermanyNorth,germanyn
2603:1020:d04:1::600/120,IPv6,EventHub.GermanyNorth,germanyn
2603:1020:d04:402::1c0/123,IPv6,EventHub.GermanyNorth,germanyn
51.116.49.224/27,IPv4,AzureIoTHub.GermanyNorth,germanyn
51.116.50.0/25,IPv4,AzureIoTHub.GermanyNorth,germanyn
51.116.60.96/27,IPv4,AzureIoTHub.GermanyNorth,germanyn
2603:1020:d04:402::300/123,IPv6,AzureIoTHub.GermanyNorth,germanyn
51.116.54.76/30,IPv4,AzureKeyVault.GermanyNorth,germanyn
51.116.55.88/29,IPv4,AzureKeyVault.GermanyNorth,germanyn
51.116.58.0/30,IPv4,AzureKeyVault.GermanyNorth,germanyn
2603:1020:d04::100/125,IPv6,AzureKeyVault.GermanyNorth,germanyn
2603:1020:d04::108/126,IPv6,AzureKeyVault.GermanyNorth,germanyn
2603:1020:d04::2a0/125,IPv6,AzureKeyVault.GermanyNorth,germanyn
2603:1020:d04:402::80/125,IPv6,AzureKeyVault.GermanyNorth,germanyn
51.116.49.176/28,IPv4,AzureMachineLearning.GermanyNorth,germanyn
51.116.59.48/28,IPv4,AzureMachineLearning.GermanyNorth,germanyn
