ip_address,ip_type,service,region
48.193.50.96/30,IPv4,ActionGroup.IndonesiaCentral,indonesiacentral
70.153.176.24/30,IPv4,ActionGroup.IndonesiaCentral,indonesiacentral
2603:1040:1802:5::5a0/125,IPv6,ActionGroup.IndonesiaCentral,indonesiacentral
2603:1040:1802:400::40/125,IPv6,ActionGroup.IndonesiaCentral,indonesiacentral
70.153.154.240/28,IPv4,ApiManagement.IndonesiaCentral,indonesiacentral
2603:1040:1802::2c0/124,IPv6,ApiManagement.IndonesiaCentral,indonesiacentral
70.153.161.0/24,IPv4,AppService.IndonesiaCentral,indonesiacentral
2603:1040:1802:1::400/120,IPv6,AppService.IndonesiaCentral,indonesiacentral
70.153.166.0/26,IPv4,AppServiceManagement.IndonesiaCentral,indonesiacentral
2603:1040:1802:1::740/122,IPv6,AppServiceManagement.IndonesiaCentral,indonesiacentral
70.153.67.251/32,IPv4,AzureArcInfrastructure.IndonesiaCentral,indonesiacentral
70.153.165.84/30,IPv4,AzureArcInfrastructure.IndonesiaCentral,indonesiacentral
70.153.176.52/32,IPv4,AzureArcInfrastructure.IndonesiaCentral,indonesiacentral
2603:1040:1802:1::710/124,IPv6,AzureArcInfrastructure.IndonesiaCentral,indonesiacentral
70.153.152.20/30,IPv4,AzureAttestation.IndonesiaCentral,indonesiacentral
2603:1040:1802::2e0/124,IPv6,AzureAttestation.IndonesiaCentral,indonesiacentral
70.153.156.64/26,IPv4,AzureBackup.IndonesiaCentral,indonesiacentral
2603:1040:1802::380/121,IPv6,AzureBackup.IndonesiaCentral,indonesiacentral
70.153.152.16/30,IPv4,AzureBotService.IndonesiaCentral,indonesiacentral
2603:1040:1802:2::740/123,IPv6,AzureBotService.IndonesiaCentral,indonesiacentral
70.153.152.192/26,IPv4,AzureCognitiveSearch.IndonesiaCentral,indonesiacentral
70.153.173.192/26,IPv4,AzureCognitiveSearch.IndonesiaCentral,indonesiacentral
2603:1040:1802:3::/121,IPv6,AzureCognitiveSearch.IndonesiaCentral,indonesiacentral
70.153.64.0/27,IPv4,AzureConnectors.IndonesiaCentral,indonesiacentral
70.153.64.32/28,IPv4,AzureConnectors.IndonesiaCentral,indonesiacentral
70.153.164.128/26,IPv4,AzureConnectors.IndonesiaCentral,indonesiacentral
2603:1040:1802:1::540/122,IPv6,AzureConnectors.IndonesiaCentral,indonesiacentral
2603:1040:1802:3::360/123,IPv6,AzureConnectors.IndonesiaCentral,indonesiacentral
2603:1040:1802:3::380/124,IPv6,AzureConnectors.IndonesiaCentral,indonesiacentral
48.193.49.192/26,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.154.128/26,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.176.64/26,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.177.128/25,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.200.64/26,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.202.0/25,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.216.64/26,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.218.0/25,IPv4,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802::280/125,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:4::6a8/125,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:4::6b0/124,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:4::6c0/123,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:5::480/121,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:400::8/125,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:400::100/121,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:800::8/125,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:800::80/121,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:c00::8/125,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
2603:1040:1802:c00::80/121,IPv6,AzureContainerRegistry.IndonesiaCentral,indonesiacentral
70.153.154.64/26,IPv4,AzureCosmosDB.IndonesiaCentral,indonesiacentral
2603:1040:1802::240/123,IPv6,AzureCosmosDB.IndonesiaCentral,indonesiacentral
70.153.158.208/28,IPv4,AzureDataExplorerManagement.IndonesiaCentral,indonesiacentral
2603:1040:1802::760/123,IPv6,AzureDataExplorerManagement.IndonesiaCentral,indonesiacentral
70.153.156.0/27,IPv4,AzureDigitalTwins.IndonesiaCentral,indonesiacentral
2603:1040:1802::300/121,IPv6,AzureDigitalTwins.IndonesiaCentral,indonesiacentral
70.153.153.128/25,IPv4,AzureEventGrid.IndonesiaCentral,indonesiacentral
2603:1040:1802:3::180/121,IPv6,AzureEventGrid.IndonesiaCentral,indonesiacentral
70.153.157.0/24,IPv4,EventHub.IndonesiaCentral,indonesiacentral
70.153.176.128/26,IPv4,EventHub.IndonesiaCentral,indonesiacentral
70.153.200.128/26,IPv4,EventHub.IndonesiaCentral,indonesiacentral
70.153.216.128/26,IPv4,EventHub.IndonesiaCentral,indonesiacentral
2603:1040:1802::500/120,IPv6,EventHub.IndonesiaCentral,indonesiacentral
70.153.177.0/27,IPv4,AzureIoTHub.IndonesiaCentral,indonesiacentral
70.153.200.224/27,IPv4,AzureIoTHub.IndonesiaCentral,indonesiacentral
70.153.216.224/27,IPv4,AzureIoTHub.IndonesiaCentral,indonesiacentral
2603:1040:1802:400::80/123,IPv6,AzureIoTHub.IndonesiaCentral,indonesiacentral
2603:1040:1802:800::40/123,IPv6,AzureIoTHub.IndonesiaCentral,indonesiacentral
