ip_address,ip_type,service,region
20.193.202.4/30,IPv4,ActionGroup.JioIndiaWest,jioindiawest
40.64.15.124/30,IPv4,ActionGroup.JioIndiaWest,jioindiawest
2603:1040:d04::10c/126,IPv6,ActionGroup.JioIndiaWest,jioindiawest
2603:1040:d04:800::f8/125,IPv6,ActionGroup.JioIndiaWest,jioindiawest
20.193.192.48/28,IPv4,ApiManagement.JioIndiaWest,jioindiawest
20.193.202.160/28,IPv4,ApiManagement.JioIndiaWest,jioindiawest
2603:1040:d04:1::700/124,IPv6,ApiManagement.JioIndiaWest,jioindiawest
2603:1040:d04:800::c0/124,IPv6,ApiManagement.JioIndiaWest,jioindiawest
20.193.198.0/24,IPv4,AppService.JioIndiaWest,jioindiawest
20.193.202.128/27,IPv4,AppService.JioIndiaWest,jioindiawest
40.64.8.224/27,IPv4,AppService.JioIndiaWest,jioindiawest
40.64.9.0/25,IPv4,AppService.JioIndiaWest,jioindiawest
40.64.10.0/25,IPv4,AppService.JioIndiaWest,jioindiawest
40.64.10.128/27,IPv4,AppService.JioIndiaWest,jioindiawest
2603:1040:d04:3::100/120,IPv6,AppService.JioIndiaWest,jioindiawest
2603:1040:d04:400::a0/123,IPv6,AppService.JioIndiaWest,jioindiawest
2603:1040:d04:800::160/123,IPv6,AppService.JioIndiaWest,jioindiawest
2603:1040:d04:800::360/123,IPv6,AppService.JioIndiaWest,jioindiawest
20.193.202.192/26,IPv4,AppServiceManagement.JioIndiaWest,jioindiawest
40.64.9.160/28,IPv4,AppServiceManagement.JioIndiaWest,jioindiawest
2603:1040:d04:3::40/123,IPv6,AppServiceManagement.JioIndiaWest,jioindiawest
2603:1040:d04:400::440/122,IPv6,AppServiceManagement.JioIndiaWest,jioindiawest
2603:1040:d04:800::80/122,IPv6,AppServiceManagement.JioIndiaWest,jioindiawest
2603:1040:d04:800::200/122,IPv6,AppServiceManagement.JioIndiaWest,jioindiawest
2603:1040:d04:800::380/122,IPv6,AppServiceManagement.JioIndiaWest,jioindiawest
20.192.164.176/30,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
20.193.160.230/32,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
20.244.194.6/31,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
20.244.194.8/29,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
20.244.209.210/32,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
135.235.45.41/32,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
135.235.45.48/30,IPv4,AzureArcInfrastructure.JioIndiaWest,jioindiawest
2603:1040:d04:6::5a4/127,IPv6,AzureArcInfrastructure.JioIndiaWest,jioindiawest
2603:1040:d04:6::5a6/128,IPv6,AzureArcInfrastructure.JioIndiaWest,jioindiawest
2603:1040:d04:7::2a8/128,IPv6,AzureArcInfrastructure.JioIndiaWest,jioindiawest
20.192.166.188/30,IPv4,AzureAttestation.JioIndiaWest,jioindiawest
