ip_address,ip_type,service,region
172.204.177.28/30,IPv4,ActionGroup.NewZealandNorth,newzealandnorth
2603:1010:502:400::80/125,IPv6,ActionGroup.NewZealandNorth,newzealandnorth
172.204.154.240/28,IPv4,ApiManagement.NewZealandNorth,newzealandnorth
2603:1010:502::5a0/124,IPv6,ApiManagement.NewZealandNorth,newzealandnorth
172.204.161.0/24,IPv4,AppService.NewZealandNorth,newzealandnorth
2603:1010:502:1::700/120,IPv6,AppService.NewZealandNorth,newzealandnorth
172.204.108.32/29,IPv4,AppServiceManagement.NewZealandNorth,newzealandnorth
172.204.166.0/26,IPv4,AppServiceManagement.NewZealandNorth,newzealandnorth
2603:1010:502:2::240/122,IPv6,AppServiceManagement.NewZealandNorth,newzealandnorth
172.204.165.72/30,IPv4,AzureArcInfrastructure.NewZealandNorth,newzealandnorth
172.204.177.160/32,IPv4,AzureArcInfrastructure.NewZealandNorth,newzealandnorth
172.204.248.104/32,IPv4,AzureArcInfrastructure.NewZealandNorth,newzealandnorth
2603:1010:502:2::130/124,IPv6,AzureArcInfrastructure.NewZealandNorth,newzealandnorth
172.204.152.20/30,IPv4,AzureAttestation.NewZealandNorth,newzealandnorth
172.204.255.208/29,IPv4,AzureAttestation.NewZealandNorth,newzealandnorth
2603:1010:502::5c0/124,IPv6,AzureAttestation.NewZealandNorth,newzealandnorth
172.204.156.64/26,IPv4,AzureBackup.NewZealandNorth,newzealandnorth
2603:1010:502::680/121,IPv6,AzureBackup.NewZealandNorth,newzealandnorth
172.204.152.16/30,IPv4,AzureBotService.NewZealandNorth,newzealandnorth
2603:1010:502::20/123,IPv6,AzureBotService.NewZealandNorth,newzealandnorth
172.204.152.192/26,IPv4,AzureCognitiveSearch.NewZealandNorth,newzealandnorth
2603:1010:502::100/121,IPv6,AzureCognitiveSearch.NewZealandNorth,newzealandnorth
172.204.164.128/26,IPv4,AzureConnectors.NewZealandNorth,newzealandnorth
172.204.174.128/28,IPv4,AzureConnectors.NewZealandNorth,newzealandnorth
2603:1010:502:2::40/122,IPv6,AzureConnectors.NewZealandNorth,newzealandnorth
172.204.154.128/26,IPv4,AzureContainerRegistry.NewZealandNorth,newzealandnorth
