ip_address,ip_type,service,region
48.216.8.24/30,IPv4,ActionGroup.SouthCentralUS2,southcentralus2
2603:1030:1102:400::40/125,IPv6,ActionGroup.SouthCentralUS2,southcentralus2
48.216.19.176/28,IPv4,ApiManagement.SouthCentralUS2,southcentralus2
2603:1030:1102::520/124,IPv6,ApiManagement.SouthCentralUS2,southcentralus2
48.216.27.0/24,IPv4,AppService.SouthCentralUS2,southcentralus2
2603:1030:1102:1::700/120,IPv6,AppService.SouthCentralUS2,southcentralus2
48.216.28.192/26,IPv4,AppServiceManagement.SouthCentralUS2,southcentralus2
48.216.60.0/29,IPv4,AppServiceManagement.SouthCentralUS2,southcentralus2
2603:1030:1102:2::240/122,IPv6,AppServiceManagement.SouthCentralUS2,southcentralus2
48.216.8.52/32,IPv4,AzureArcInfrastructure.SouthCentralUS2,southcentralus2
48.216.28.144/30,IPv4,AzureArcInfrastructure.SouthCentralUS2,southcentralus2
48.216.48.142/32,IPv4,AzureArcInfrastructure.SouthCentralUS2,southcentralus2
2603:1030:1102:2::200/124,IPv6,AzureArcInfrastructure.SouthCentralUS2,southcentralus2
48.216.16.20/30,IPv4,AzureAttestation.SouthCentralUS2,southcentralus2
2603:1030:1102::540/124,IPv6,AzureAttestation.SouthCentralUS2,southcentralus2
48.216.20.0/26,IPv4,AzureBackup.SouthCentralUS2,southcentralus2
2603:1030:1102::600/121,IPv6,AzureBackup.SouthCentralUS2,southcentralus2
48.216.16.16/30,IPv4,AzureBotService.SouthCentralUS2,southcentralus2
2603:1030:1102::20/123,IPv6,AzureBotService.SouthCentralUS2,southcentralus2
48.216.16.192/26,IPv4,AzureCognitiveSearch.SouthCentralUS2,southcentralus2
2603:1030:1102::100/121,IPv6,AzureCognitiveSearch.SouthCentralUS2,southcentralus2
48.216.26.192/26,IPv4,AzureConnectors.SouthCentralUS2,southcentralus2
2603:1030:1102:1::6c0/122,IPv6,AzureConnectors.SouthCentralUS2,southcentralus2
48.216.8.64/26,IPv4,AzureContainerRegistry.SouthCentralUS2,southcentralus2
48.216.10.0/25,IPv4,AzureContainerRegistry.SouthCentralUS2,southcentralus2
48.216.19.64/26,IPv4,AzureContainerRegistry.SouthCentralUS2,southcentralus2
48.216.38.128/26,IPv4,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102::3e0/125,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:3::780/121,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:4::4f8/125,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:4::540/123,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:4::560/124,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:400::8/125,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
2603:1030:1102:400::80/121,IPv6,AzureContainerRegistry.SouthCentralUS2,southcentralus2
48.216.19.0/26,IPv4,AzureCosmosDB.SouthCentralUS2,southcentralus2
2603:1030:1102::1e0/123,IPv6,AzureCosmosDB.SouthCentralUS2,southcentralus2
48.216.22.128/28,IPv4,AzureDataExplorerManagement.SouthCentralUS2,southcentralus2
2603:1030:1102:1::1c0/123,IPv6,AzureDataExplorerManagement.SouthCentralUS2,southcentralus2
48.216.19.192/27,IPv4,AzureDigitalTwins.SouthCentralUS2,southcentralus2
2603:1030:1102::580/121,IPv6,AzureDigitalTwins.SouthCentralUS2,southcentralus2
48.216.17.128/25,IPv4,AzureEventGrid.SouthCentralUS2,southcentralus2
2603:1030:1102::280/121,IPv6,AzureEventGrid.SouthCentralUS2,southcentralus2
48.216.8.128/26,IPv4,EventHub.SouthCentralUS2,southcentralus2
48.216.21.0/24,IPv4,EventHub.SouthCentralUS2,southcentralus2
2603:1030:1102::700/120,IPv6,EventHub.SouthCentralUS2,southcentralus2
48.216.12.136/30,IPv4,AzureKeyVault.SouthCentralUS2,southcentralus2
48.216.22.216/30,IPv4,AzureKeyVault.SouthCentralUS2,southcentralus2
48.216.35.184/29,IPv4,AzureKeyVault.SouthCentralUS2,southcentralus2
2603:1030:1102:1::1a8/125,IPv6,AzureKeyVault.SouthCentralUS2,southcentralus2
2603:1030:1102:400::50/125,IPv6,AzureKeyVault.SouthCentralUS2,southcentralus2
48.216.17.0/27,IPv4,AzureMachineLearning.SouthCentralUS2,southcentralus2
2603:1030:1102::200/122,IPv6,AzureMachineLearning.SouthCentralUS2,southcentralus2
48.216.10.184/29,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.216.12.48/28,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.216.28.150/31,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.216.33.4/30,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.216.33.48/29,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.216.33.192/26,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.219.9.32/27,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
48.219.9.64/27,IPv4,AzureMonitor.SouthCentralUS2,southcentralus2
2603:1030:1102:2::3e0/123,IPv6,AzureMonitor.SouthCentralUS2,southcentralus2
