ip_address,ip_type,service,region
20.20.48.192/27,IPv4,AzureCloud.southwestus,southwestus
20.20.112.0/26,IPv4,AzureCloud.southwestus,southwestus
20.20.112.64/27,IPv4,AzureCloud.southwestus,southwestus
20.20.112.96/28,IPv4,AzureCloud.southwestus,southwestus
20.20.112.112/29,IPv4,AzureCloud.southwestus,southwestus
20.20.112.120/31,IPv4,AzureCloud.southwestus,southwestus
20.33.98.0/24,IPv4,AzureCloud.southwestus,southwestus
20.38.31.0/24,IPv4,AzureCloud.southwestus,southwestus
20.152.56.0/23,IPv4,AzureCloud.southwestus,southwestus
20.153.11.0/24,IPv4,AzureCloud.southwestus,southwestus
20.153.11.0/24,IPv4,Storage.SouthwestUS,southwestus
20.153.45.0/24,IPv4,AzureCloud.southwestus,southwestus
20.153.45.0/24,IPv4,Storage.SouthwestUS,southwestus
20.201.167.0/24,IPv4,AzureCloud.southwestus,southwestus
20.231.144.192/27,IPv4,AzureCloud.southwestus,southwestus
40.64.195.0/25,IPv4,AzureCloud.southwestus,southwestus
48.219.64.0/18,IPv4,AzureCloud.southwestus,southwestus
48.219.81.176/29,IPv4,AzureAttestation.SouthwestUS,southwestus
48.219.152.0/21,IPv4,AzureCloud.southwestus,southwestus
48.219.160.0/19,IPv4,AzureCloud.southwestus,southwestus
48.219.192.0/19,IPv4,AzureCloud.southwestus,southwestus
48.219.192.16/30,IPv4,AzureBotService.SouthwestUS,southwestus
48.219.192.20/30,IPv4,AzureAttestation.SouthwestUS,southwestus
48.219.192.40/29,IPv4,PowerQueryOnline.SouthwestUS,southwestus
48.219.192.64/26,IPv4,GatewayManager.SouthwestUS,southwestus
48.219.192.192/26,IPv4,AzureCognitiveSearch.SouthwestUS,southwestus
48.219.193.0/27,IPv4,AzureMachineLearning.SouthwestUS,southwestus
48.219.193.64/27,IPv4,BatchNodeManagement.SouthwestUS,southwestus
48.219.193.128/25,IPv4,AzureEventGrid.SouthwestUS,southwestus
48.219.195.0/26,IPv4,AzureCosmosDB.SouthwestUS,southwestus
48.219.195.64/26,IPv4,AzureContainerRegistry.SouthwestUS,southwestus
48.219.195.176/28,IPv4,ApiManagement.SouthwestUS,southwestus
48.219.195.192/27,IPv4,AzureDigitalTwins.SouthwestUS,southwestus
48.219.196.0/26,IPv4,AzureBackup.SouthwestUS,southwestus
48.219.197.0/24,IPv4,EventHub.SouthwestUS,southwestus
48.219.198.0/25,IPv4,ServiceBus.SouthwestUS,southwestus
48.219.198.192/28,IPv4,AzureDataExplorerManagement.SouthwestUS,southwestus
48.219.199.16/29,IPv4,HDInsight.SouthwestUS,southwestus
48.219.199.24/30,IPv4,AzureKeyVault.SouthwestUS,southwestus
48.219.200.0/23,IPv4,AzureResourceManager.SouthwestUS,southwestus
48.219.202.0/24,IPv4,AppService.SouthwestUS,southwestus
48.219.203.0/26,IPv4,AzureConnectors.SouthwestUS,southwestus
48.219.203.208/30,IPv4,AzureArcInfrastructure.SouthwestUS,southwestus
48.219.203.240/31,IPv4,PowerBI.SouthwestUS,southwestus
48.219.203.242/31,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.203.244/30,IPv4,PowerBI.SouthwestUS,southwestus
48.219.203.248/29,IPv4,PowerBI.SouthwestUS,southwestus
48.219.204.128/26,IPv4,AppServiceManagement.SouthwestUS,southwestus
48.219.205.208/29,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.205.216/30,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.205.224/27,IPv4,AzurePortal.SouthwestUS,southwestus
48.219.206.0/23,IPv4,DataFactory.SouthwestUS,southwestus
48.219.208.0/26,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.208.96/27,IPv4,Sql.SouthwestUS,southwestus
48.219.208.128/26,IPv4,Sql.SouthwestUS,southwestus
48.219.208.240/29,IPv4,AzureDigitalTwins.SouthwestUS,southwestus
48.219.209.160/27,IPv4,AzureCosmosDB.SouthwestUS,southwestus
48.219.209.192/28,IPv4,AzureBackup.SouthwestUS,southwestus
48.219.209.212/30,IPv4,AzurePortal.SouthwestUS,southwestus
48.219.210.0/30,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.210.32/27,IPv4,Sql.SouthwestUS,southwestus
48.219.211.208/29,IPv4,AzureKeyVault.SouthwestUS,southwestus
48.219.212.72/29,IPv4,StorageSyncService.SouthwestUS,southwestus
48.219.213.64/26,IPv4,AzureContainerRegistry.SouthwestUS,southwestus
48.219.213.160/28,IPv4,LogicApps.SouthwestUS,southwestus
48.219.213.192/27,IPv4,LogicApps.SouthwestUS,southwestus
48.219.217.192/32,IPv4,AzureArcInfrastructure.SouthwestUS,southwestus
48.219.221.52/30,IPv4,AzureAttestation.SouthwestUS,southwestus
48.219.221.128/26,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.222.96/28,IPv4,GatewayManager.SouthwestUS,southwestus
48.219.224.0/20,IPv4,AzureCloud.southwestus,southwestus
48.219.232.0/29,IPv4,MicrosoftContainerRegistry.SouthwestUS,southwestus
48.219.232.12/30,IPv4,ServiceFabric.SouthwestUS,southwestus
48.219.232.16/29,IPv4,ServiceBus.SouthwestUS,southwestus
48.219.232.24/30,IPv4,ActionGroup.SouthwestUS,southwestus
48.219.232.32/28,IPv4,ServiceBus.SouthwestUS,southwestus
48.219.232.48/29,IPv4,StorageSyncService.SouthwestUS,southwestus
48.219.232.56/32,IPv4,AzureArcInfrastructure.SouthwestUS,southwestus
48.219.232.60/30,IPv4,AzureKeyVault.SouthwestUS,southwestus
48.219.232.64/26,IPv4,AzureContainerRegistry.SouthwestUS,southwestus
48.219.232.128/26,IPv4,EventHub.SouthwestUS,southwestus
48.219.234.0/25,IPv4,AzureContainerRegistry.SouthwestUS,southwestus
48.219.234.136/29,IPv4,Sql.SouthwestUS,southwestus
48.219.234.160/27,IPv4,Sql.SouthwestUS,southwestus
48.219.234.208/28,IPv4,DataFactory.SouthwestUS,southwestus
48.219.236.32/28,IPv4,LogicApps.SouthwestUS,southwestus
48.219.236.48/29,IPv4,AzureMonitor.SouthwestUS,southwestus
48.219.236.64/27,IPv4,LogicApps.SouthwestUS,southwestus
48.219.236.96/28,IPv4,AzureMonitor.SouthwestUS,southwestus
52.106.121.224/27,IPv4,AzureCloud.southwestus,southwestus
57.150.174.0/23,IPv4,AzureCloud.southwestus,southwestus
57.150.174.0/23,IPv4,Storage.SouthwestUS,southwestus
57.150.176.0/24,IPv4,AzureCloud.southwestus,southwestus
57.150.176.0/24,IPv4,Storage.SouthwestUS,southwestus
57.150.254.0/23,IPv4,AzureCloud.southwestus,southwestus
57.150.254.0/23,IPv4,Storage.SouthwestUS,southwestus
135.130.210.0/23,IPv4,AzureCloud.southwestus,southwestus
135.130.210.0/23,IPv4,Storage.SouthwestUS,southwestus
145.190.146.0/23,IPv4,AzureCloud.southwestus,southwestus
145.190.146.0/23,IPv4,Storage.SouthwestUS,southwestus
209.199.33.192/28,IPv4,AzureCloud.southwestus,southwestus
209.199.34.0/25,IPv4,AzureCloud.southwestus,southwestus
2603:1030:1201::/48,IPv6,AzureCloud.southwestus,southwestus
2603:1030:1202::/47,IPv6,AzureCloud.southwestus,southwestus
2603:1030:1202::20/123,IPv6,AzureBotService.SouthwestUS,southwestus
2603:1030:1202::40/122,IPv6,GatewayManager.SouthwestUS,southwestus
2603:1030:1202::100/121,IPv6,AzureCognitiveSearch.SouthwestUS,southwestus
2603:1030:1202::1c0/123,IPv6,PowerQueryOnline.SouthwestUS,southwestus
2603:1030:1202::1e0/123,IPv6,AzureCosmosDB.SouthwestUS,southwestus
2603:1030:1202::200/122,IPv6,AzureMachineLearning.SouthwestUS,southwestus
2603:1030:1202::280/121,IPv6,AzureEventGrid.SouthwestUS,southwestus
2603:1030:1202::300/122,IPv6,BatchNodeManagement.SouthwestUS,southwestus
2603:1030:1202::3e0/125,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202::520/124,IPv6,ApiManagement.SouthwestUS,southwestus
2603:1030:1202::540/124,IPv6,AzureAttestation.SouthwestUS,southwestus
2603:1030:1202::580/121,IPv6,AzureDigitalTwins.SouthwestUS,southwestus
2603:1030:1202::600/121,IPv6,AzureBackup.SouthwestUS,southwestus
2603:1030:1202::780/121,IPv6,ServiceBus.SouthwestUS,southwestus
2603:1030:1202:1::/120,IPv6,EventHub.SouthwestUS,southwestus
2603:1030:1202:1::1c8/125,IPv6,AzureKeyVault.SouthwestUS,southwestus
2603:1030:1202:1::1e0/123,IPv6,AzureDataExplorerManagement.SouthwestUS,southwestus
2603:1030:1202:1::2c0/124,IPv6,HDInsight.SouthwestUS,southwestus
2603:1030:1202:1::300/120,IPv6,AzureResourceManager.SouthwestUS,southwestus
2603:1030:1202:1::5c0/122,IPv6,AzureConnectors.SouthwestUS,southwestus
2603:1030:1202:1::600/120,IPv6,AppService.SouthwestUS,southwestus
2603:1030:1202:2::20/124,IPv6,AzureArcInfrastructure.SouthwestUS,southwestus
2603:1030:1202:2::40/122,IPv6,AppServiceManagement.SouthwestUS,southwestus
2603:1030:1202:2::1a0/123,IPv6,PowerBI.SouthwestUS,southwestus
2603:1030:1202:2::280/121,IPv6,DataFactory.SouthwestUS,southwestus
2603:1030:1202:2::300/122,IPv6,PowerBI.SouthwestUS,southwestus
2603:1030:1202:2::400/121,IPv6,AzurePortal.SouthwestUS,southwestus
2603:1030:1202:2::480/121,IPv6,AzureMonitor.SouthwestUS,southwestus
2603:1030:1202:2::500/120,IPv6,AzureMonitor.SouthwestUS,southwestus
2603:1030:1202:2::620/123,IPv6,Sql.SouthwestUS,southwestus
2603:1030:1202:2::680/121,IPv6,Sql.SouthwestUS,southwestus
2603:1030:1202:4::80/123,IPv6,StorageSyncService.SouthwestUS,southwestus
2603:1030:1202:4::180/121,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:4::230/124,IPv6,LogicApps.SouthwestUS,southwestus
2603:1030:1202:4::2a0/123,IPv6,LogicApps.SouthwestUS,southwestus
2603:1030:1202:4::580/123,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:4::5a0/124,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:4::5b0/125,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:5::400/119,IPv6,AzureMonitor.SouthwestUS,southwestus
2603:1030:1202:6::/119,IPv6,AzureMonitor.SouthwestUS,southwestus
2603:1030:1202:400::/125,IPv6,MicrosoftContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:400::8/125,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:400::18/125,IPv6,ServiceFabric.SouthwestUS,southwestus
2603:1030:1202:400::40/125,IPv6,ActionGroup.SouthwestUS,southwestus
2603:1030:1202:400::48/125,IPv6,AzureKeyVault.SouthwestUS,southwestus
2603:1030:1202:400::80/121,IPv6,AzureContainerRegistry.SouthwestUS,southwestus
2603:1030:1202:400::120/123,IPv6,StorageSyncService.SouthwestUS,southwestus
2603:1030:1202:400::320/124,IPv6,DataFactory.SouthwestUS,southwestus
2603:1030:1202:400::330/124,IPv6,LogicApps.SouthwestUS,southwestus
2603:1030:1202:400::340/123,IPv6,LogicApps.SouthwestUS,southwestus
2603:1030:1203::/48,IPv6,Storage.SouthwestUS,southwestus
