ip_address,ip_type,service,region
20.208.157.48/30,IPv4,ActionGroup.SwitzerlandNorth,switzerlandn
2603:1020:a04:1::10c/126,IPv6,ActionGroup.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::178/125,IPv6,ActionGroup.SwitzerlandNorth,switzerlandn
51.107.0.91/32,IPv4,ApiManagement.SwitzerlandNorth,switzerlandn
51.107.59.0/28,IPv4,ApiManagement.SwitzerlandNorth,switzerlandn
51.107.246.176/28,IPv4,ApiManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:2::510/124,IPv6,ApiManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::140/124,IPv6,ApiManagement.SwitzerlandNorth,switzerlandn
20.208.1.0/24,IPv4,AppService.SwitzerlandNorth,switzerlandn
20.208.5.32/29,IPv4,AppService.SwitzerlandNorth,switzerlandn
20.208.5.128/25,IPv4,AppService.SwitzerlandNorth,switzerlandn
20.208.6.0/24,IPv4,AppService.SwitzerlandNorth,switzerlandn
51.107.50.0/27,IPv4,AppService.SwitzerlandNorth,switzerlandn
51.107.58.160/27,IPv4,AppService.SwitzerlandNorth,switzerlandn
2603:1020:a04:3::100/120,IPv6,AppService.SwitzerlandNorth,switzerlandn
2603:1020:a04:3::400/119,IPv6,AppService.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::a0/123,IPv6,AppService.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::a0/123,IPv6,AppService.SwitzerlandNorth,switzerlandn
2603:1020:a04:c02::a0/123,IPv6,AppService.SwitzerlandNorth,switzerlandn
20.208.5.0/28,IPv4,AppServiceManagement.SwitzerlandNorth,switzerlandn
20.208.13.64/29,IPv4,AppServiceManagement.SwitzerlandNorth,switzerlandn
51.107.58.192/26,IPv4,AppServiceManagement.SwitzerlandNorth,switzerlandn
51.107.68.94/32,IPv4,AppServiceManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:3::200/123,IPv6,AppServiceManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::100/122,IPv6,AppServiceManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::100/122,IPv6,AppServiceManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:c02::100/122,IPv6,AppServiceManagement.SwitzerlandNorth,switzerlandn
20.208.21.162/31,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
20.208.151.204/31,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
20.208.152.48/29,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
51.103.205.160/31,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
51.107.50.56/30,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
51.107.53.32/30,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
51.107.60.152/32,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
51.107.129.104/30,IPv4,AzureArcInfrastructure.SwitzerlandNorth,switzerlandn
4.226.77.128/29,IPv4,AzureAttestation.SwitzerlandNorth,switzerlandn
51.107.53.52/30,IPv4,AzureAttestation.SwitzerlandNorth,switzerlandn
51.107.128.36/30,IPv4,AzureAttestation.SwitzerlandNorth,switzerlandn
2603:1020:a04:2::530/124,IPv6,AzureAttestation.SwitzerlandNorth,switzerlandn
20.208.19.0/26,IPv4,AzureBackup.SwitzerlandNorth,switzerlandn
51.103.203.0/26,IPv4,AzureBackup.SwitzerlandNorth,switzerlandn
51.107.59.64/26,IPv4,AzureBackup.SwitzerlandNorth,switzerlandn
