ip_address,ip_type,service,region
13.71.199.112/30,IPv4,ActionGroup.WestCentralUS,westcentralus
20.69.8.102/31,IPv4,ActionGroup.WestCentralUS,westcentralus
20.168.188.36/30,IPv4,ActionGroup.WestCentralUS,westcentralus
172.215.202.24/30,IPv4,ActionGroup.WestCentralUS,westcentralus
2603:1030:b04:1::4cc/126,IPv6,ActionGroup.WestCentralUS,westcentralus
2603:1030:b04:402::178/125,IPv6,ActionGroup.WestCentralUS,westcentralus
2603:1030:b04:800::40/125,IPv6,ActionGroup.WestCentralUS,westcentralus
13.71.194.116/31,IPv4,ApiManagement.WestCentralUS,westcentralus
13.71.196.32/28,IPv4,ApiManagement.WestCentralUS,westcentralus
52.253.135.58/32,IPv4,ApiManagement.WestCentralUS,westcentralus
2603:1030:b04:402::140/124,IPv6,ApiManagement.WestCentralUS,westcentralus
13.71.194.192/27,IPv4,AppService.WestCentralUS,westcentralus
13.78.150.96/32,IPv4,AppService.WestCentralUS,westcentralus
13.78.184.89/32,IPv4,AppService.WestCentralUS,westcentralus
20.69.5.168/29,IPv4,AppService.WestCentralUS,westcentralus
20.69.6.0/24,IPv4,AppService.WestCentralUS,westcentralus
20.69.7.0/25,IPv4,AppService.WestCentralUS,westcentralus
52.150.140.224/27,IPv4,AppService.WestCentralUS,westcentralus
52.161.96.193/32,IPv4,AppService.WestCentralUS,westcentralus
2603:1030:b04:3::200/119,IPv6,AppService.WestCentralUS,westcentralus
2603:1030:b04:402::a0/123,IPv6,AppService.WestCentralUS,westcentralus
13.71.194.128/26,IPv4,AppServiceManagement.WestCentralUS,westcentralus
13.78.148.75/32,IPv4,AppServiceManagement.WestCentralUS,westcentralus
20.69.5.128/28,IPv4,AppServiceManagement.WestCentralUS,westcentralus
2603:1030:b04:1::4a0/123,IPv6,AppServiceManagement.WestCentralUS,westcentralus
2603:1030:b04:402::100/122,IPv6,AppServiceManagement.WestCentralUS,westcentralus
13.71.199.117/32,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
40.67.122.108/30,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
40.67.122.112/32,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
40.67.122.120/29,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
52.150.152.204/30,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
52.150.156.36/30,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
172.215.202.52/32,IPv4,AzureArcInfrastructure.WestCentralUS,westcentralus
40.67.121.196/30,IPv4,AzureAttestation.WestCentralUS,westcentralus
52.150.157.172/30,IPv4,AzureAttestation.WestCentralUS,westcentralus
13.71.195.64/26,IPv4,AzureBackup.WestCentralUS,westcentralus
13.71.195.128/27,IPv4,AzureBackup.WestCentralUS,westcentralus
20.69.1.0/26,IPv4,AzureBackup.WestCentralUS,westcentralus
2603:1030:b04:402::200/121,IPv6,AzureBackup.WestCentralUS,westcentralus
13.71.196.160/30,IPv4,AzureBotService.WestCentralUS,westcentralus
52.150.136.64/30,IPv4,AzureBotService.WestCentralUS,westcentralus
2603:1030:b04::20/123,IPv6,AzureBotService.WestCentralUS,westcentralus
52.150.139.0/26,IPv4,AzureCognitiveSearch.WestCentralUS,westcentralus
52.253.133.74/32,IPv4,AzureCognitiveSearch.WestCentralUS,westcentralus
2603:1030:b04::180/121,IPv6,AzureCognitiveSearch.WestCentralUS,westcentralus
13.71.195.32/28,IPv4,AzureConnectors.WestCentralUS,westcentralus
13.71.199.192/27,IPv4,AzureConnectors.WestCentralUS,westcentralus
13.78.132.82/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
13.78.135.84/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
13.78.135.117/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
13.78.178.187/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
20.69.4.0/27,IPv4,AzureConnectors.WestCentralUS,westcentralus
20.69.4.32/28,IPv4,AzureConnectors.WestCentralUS,westcentralus
52.161.101.204/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
52.161.102.22/32,IPv4,AzureConnectors.WestCentralUS,westcentralus
2603:1030:b04:402::180/122,IPv6,AzureConnectors.WestCentralUS,westcentralus
13.71.194.224/29,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
20.168.190.0/25,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
40.67.121.0/25,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
40.67.122.128/26,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
52.150.156.64/26,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
57.151.152.64/26,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
57.151.154.0/25,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
172.215.202.64/26,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
172.215.203.128/25,IPv4,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:3::540/122,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:402::90/125,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:402::340/122,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:402::580/122,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:800::8/125,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:800::100/121,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:c00::8/125,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
2603:1030:b04:c00::80/121,IPv6,AzureContainerRegistry.WestCentralUS,westcentralus
13.71.194.0/26,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.148.41.0/26,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.148.42.128/25,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.148.43.0/26,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.150.154.224/27,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.153.155.166/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.153.155.205/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.159.50.179/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.161.13.67/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.161.22.131/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
52.161.100.126/32,IPv4,AzureCosmosDB.WestCentralUS,westcentralus
2603:1030:b04:6::700/122,IPv6,AzureCosmosDB.WestCentralUS,westcentralus
2603:1030:b04:402::c0/122,IPv6,AzureCosmosDB.WestCentralUS,westcentralus
13.71.196.64/28,IPv4,AzureDataExplorerManagement.WestCentralUS,westcentralus
52.159.55.120/32,IPv4,AzureDataExplorerManagement.WestCentralUS,westcentralus
2603:1030:b04:1::380/121,IPv6,AzureDataExplorerManagement.WestCentralUS,westcentralus
2603:1030:b04:402::150/124,IPv6,AzureDataExplorerManagement.WestCentralUS,westcentralus
52.150.138.0/24,IPv4,AzureDevOps.WestCentralUS,westcentralus
13.71.199.96/28,IPv4,AzureDevSpaces.WestCentralUS,westcentralus
52.150.139.144/28,IPv4,AzureDevSpaces.WestCentralUS,westcentralus
20.168.190.152/29,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.148.29.27/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.148.46.114/31,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.150.156.248/29,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.150.157.32/27,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.153.146/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.153.246/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.153.255/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.154.13/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.154.40/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.154.123/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.154.158/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.153.154.161/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
52.161.185.49/32,IPv4,AzureDigitalTwins.WestCentralUS,westcentralus
2603:1030:b04:3::478/126,IPv6,AzureDigitalTwins.WestCentralUS,westcentralus
52.148.45.0/24,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.150.140.0/25,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.159.49.144/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.159.51.160/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.159.53.64/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.159.53.112/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.161.186.128/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
52.161.186.208/28,IPv4,AzureEventGrid.WestCentralUS,westcentralus
2603:1030:b04::380/121,IPv6,AzureEventGrid.WestCentralUS,westcentralus
13.71.194.64/27,IPv4,EventHub.WestCentralUS,westcentralus
13.78.149.209/32,IPv4,EventHub.WestCentralUS,westcentralus
13.78.150.233/32,IPv4,EventHub.WestCentralUS,westcentralus
20.69.3.0/24,IPv4,EventHub.WestCentralUS,westcentralus
40.67.123.0/24,IPv4,EventHub.WestCentralUS,westcentralus
52.161.19.160/32,IPv4,EventHub.WestCentralUS,westcentralus
52.161.24.64/32,IPv4,EventHub.WestCentralUS,westcentralus
57.151.152.128/26,IPv4,EventHub.WestCentralUS,westcentralus
172.215.202.128/26,IPv4,EventHub.WestCentralUS,westcentralus
2603:1030:b04::240/122,IPv6,EventHub.WestCentralUS,westcentralus
2603:1030:b04:1::600/120,IPv6,EventHub.WestCentralUS,westcentralus
2603:1030:b04:402::1c0/123,IPv6,EventHub.WestCentralUS,westcentralus
13.71.196.224/27,IPv4,AzureIoTHub.WestCentralUS,westcentralus
13.78.129.154/32,IPv4,AzureIoTHub.WestCentralUS,westcentralus
13.78.130.69/32,IPv4,AzureIoTHub.WestCentralUS,westcentralus
52.150.152.96/27,IPv4,AzureIoTHub.WestCentralUS,westcentralus
52.150.153.128/25,IPv4,AzureIoTHub.WestCentralUS,westcentralus
52.161.15.247/32,IPv4,AzureIoTHub.WestCentralUS,westcentralus
57.151.152.224/27,IPv4,AzureIoTHub.WestCentralUS,westcentralus
172.215.203.0/27,IPv4,AzureIoTHub.WestCentralUS,westcentralus
2603:1030:b04:402::300/123,IPv6,AzureIoTHub.WestCentralUS,westcentralus
2603:1030:b04:800::80/123,IPv6,AzureIoTHub.WestCentralUS,westcentralus
2603:1030:b04:c00::40/123,IPv6,AzureIoTHub.WestCentralUS,westcentralus
13.71.194.112/30,IPv4,AzureKeyVault.WestCentralUS,westcentralus
20.69.1.104/29,IPv4,AzureKeyVault.WestCentralUS,westcentralus
20.69.1.112/30,IPv4,AzureKeyVault.WestCentralUS,westcentralus
2603:1030:b04::108/125,IPv6,AzureKeyVault.WestCentralUS,westcentralus
2603:1030:b04::110/126,IPv6,AzureKeyVault.WestCentralUS,westcentralus
2603:1030:b04::2a0/125,IPv6,AzureKeyVault.WestCentralUS,westcentralus
