ip_address,ip_type,service,region
13.106.38.142/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
13.106.38.148/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
20.125.199.59/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
20.135.70.51/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
20.221.192.80/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
52.240.244.140/30,IPv4,ActionGroup.NorthCentralUS,northcentralus
104.47.217.151/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
104.47.240.167/32,IPv4,ActionGroup.NorthCentralUS,northcentralus
172.183.4.112/30,IPv4,ActionGroup.NorthCentralUS,northcentralus
2603:1030:608::130/126,IPv6,ActionGroup.NorthCentralUS,northcentralus
2603:1030:608:402::178/125,IPv6,ActionGroup.NorthCentralUS,northcentralus
