ip_address,ip_type,service,region
13.71.194.192/27,IPv4,AppService.WestCentralUS,westcentralus
13.78.150.96/32,IPv4,AppService.WestCentralUS,westcentralus
13.78.184.89/32,IPv4,AppService.WestCentralUS,westcentralus
20.69.5.168/29,IPv4,AppService.WestCentralUS,westcentralus
20.69.6.0/24,IPv4,AppService.WestCentralUS,westcentralus
20.69.7.0/25,IPv4,AppService.WestCentralUS,westcentralus
52.150.140.224/27,IPv4,AppService.WestCentralUS,westcentralus
52.161.96.193/32,IPv4,AppService.WestCentralUS,westcentralus
2603:1030:b04:3::200/119,IPv6,AppService.WestCentralUS,westcentralus
2603:1030:b04:402::a0/123,IPv6,AppService.WestCentralUS,westcentralus
