ip_address,ip_type,service,region
13.86.120.89/32,IPv4,AppServiceManagement.CentralUS,centralus
13.89.171.0/26,IPv4,AppServiceManagement.CentralUS,centralus
20.44.13.128/26,IPv4,AppServiceManagement.CentralUS,centralus
20.98.146.32/28,IPv4,AppServiceManagement.CentralUS,centralus
23.99.217.42/32,IPv4,AppServiceManagement.CentralUS,centralus
52.165.152.214/32,IPv4,AppServiceManagement.CentralUS,centralus
52.165.153.122/32,IPv4,AppServiceManagement.CentralUS,centralus
52.165.154.193/32,IPv4,AppServiceManagement.CentralUS,centralus
52.165.158.140/32,IPv4,AppServiceManagement.CentralUS,centralus
52.182.143.128/26,IPv4,AppServiceManagement.CentralUS,centralus
104.43.165.73/32,IPv4,AppServiceManagement.CentralUS,centralus
2603:1030:10::7a0/123,IPv6,AppServiceManagement.CentralUS,centralus
2603:1030:10:402::100/122,IPv6,AppServiceManagement.CentralUS,centralus
2603:1030:10:802::100/122,IPv6,AppServiceManagement.CentralUS,centralus
2603:1030:10:c02::100/122,IPv6,AppServiceManagement.CentralUS,centralus
