ip_address,ip_type,service,region
20.51.5.48/28,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
20.125.202.192/26,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
23.96.195.3/32,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
52.162.106.192/26,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
157.55.208.185/32,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
191.236.154.88/32,IPv4,AppServiceManagement.NorthCentralUS,northcentralus
2603:1030:608:1::4a0/123,IPv6,AppServiceManagement.NorthCentralUS,northcentralus
2603:1030:608:402::100/122,IPv6,AppServiceManagement.NorthCentralUS,northcentralus
2603:1030:608:800::80/122,IPv6,AppServiceManagement.NorthCentralUS,northcentralus
2603:1030:608:c00::80/122,IPv6,AppServiceManagement.NorthCentralUS,northcentralus
