ip_address,ip_type,service,region
20.192.44.128/26,IPv4,AzureBackup.CentralIndia,centralindia
20.192.99.80/28,IPv4,AzureBackup.CentralIndia,centralindia
20.192.99.128/26,IPv4,AzureBackup.CentralIndia,centralindia
40.80.51.0/27,IPv4,AzureBackup.CentralIndia,centralindia
40.80.53.192/26,IPv4,AzureBackup.CentralIndia,centralindia
104.211.82.0/26,IPv4,AzureBackup.CentralIndia,centralindia
104.211.82.64/27,IPv4,AzureBackup.CentralIndia,centralindia
2603:1040:a06:2::300/121,IPv6,AzureBackup.CentralIndia,centralindia
2603:1040:a06:402::200/121,IPv6,AzureBackup.CentralIndia,centralindia
2603:1040:a06:802::180/121,IPv6,AzureBackup.CentralIndia,centralindia
2603:1040:a06:c02::180/121,IPv6,AzureBackup.CentralIndia,centralindia
