ip_address,ip_type,service,region
20.51.20.128/25,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
40.74.146.96/27,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
40.74.146.128/26,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
40.75.34.96/27,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
40.75.34.192/26,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
52.138.90.160/27,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
52.138.90.192/26,IPv4,AzureBackup.EastUS2EUAP,eastus2euap
2603:1030:40b:400::a00/121,IPv6,AzureBackup.EastUS2EUAP,eastus2euap
2603:1030:40b:800::180/121,IPv6,AzureBackup.EastUS2EUAP,eastus2euap
2603:1030:40b:c00::180/121,IPv6,AzureBackup.EastUS2EUAP,eastus2euap
