ip_address,ip_type,service,region
13.78.108.32/27,IPv4,AzureBackup.JapanEast,japaneast
13.78.108.64/26,IPv4,AzureBackup.JapanEast,japaneast
20.191.166.128/26,IPv4,AzureBackup.JapanEast,japaneast
40.79.187.32/27,IPv4,AzureBackup.JapanEast,japaneast
40.79.187.64/26,IPv4,AzureBackup.JapanEast,japaneast
40.79.195.32/27,IPv4,AzureBackup.JapanEast,japaneast
40.79.195.64/26,IPv4,AzureBackup.JapanEast,japaneast
2603:1040:407:402::200/121,IPv6,AzureBackup.JapanEast,japaneast
2603:1040:407:802::180/121,IPv6,AzureBackup.JapanEast,japaneast
2603:1040:407:c02::180/121,IPv6,AzureBackup.JapanEast,japaneast
