ip_address,ip_type,service,region
20.44.27.128/27,IPv4,AzureBackup.KoreaCentral,koreacentral
20.44.31.192/26,IPv4,AzureBackup.KoreaCentral,koreacentral
20.194.66.192/26,IPv4,AzureBackup.KoreaCentral,koreacentral
20.194.67.0/27,IPv4,AzureBackup.KoreaCentral,koreacentral
20.194.74.0/26,IPv4,AzureBackup.KoreaCentral,koreacentral
52.231.19.0/26,IPv4,AzureBackup.KoreaCentral,koreacentral
52.231.19.64/27,IPv4,AzureBackup.KoreaCentral,koreacentral
2603:1040:f05:2::/121,IPv6,AzureBackup.KoreaCentral,koreacentral
2603:1040:f05:402::200/121,IPv6,AzureBackup.KoreaCentral,koreacentral
2603:1040:f05:802::180/121,IPv6,AzureBackup.KoreaCentral,koreacentral
2603:1040:f05:c02::180/121,IPv6,AzureBackup.KoreaCentral,koreacentral
