ip_address,ip_type,service,region
51.105.67.32/27,IPv4,AzureBackup.UKSouth,uksouth
51.105.67.64/26,IPv4,AzureBackup.UKSouth,uksouth
51.105.75.0/27,IPv4,AzureBackup.UKSouth,uksouth
51.105.75.64/26,IPv4,AzureBackup.UKSouth,uksouth
51.140.148.64/26,IPv4,AzureBackup.UKSouth,uksouth
51.140.148.128/27,IPv4,AzureBackup.UKSouth,uksouth
51.143.212.192/26,IPv4,AzureBackup.UKSouth,uksouth
51.143.213.0/25,IPv4,AzureBackup.UKSouth,uksouth
2603:1020:705:402::200/121,IPv6,AzureBackup.UKSouth,uksouth
2603:1020:705:802::180/121,IPv6,AzureBackup.UKSouth,uksouth
2603:1020:705:c02::180/121,IPv6,AzureBackup.UKSouth,uksouth
