ip_address,ip_type,service,region
13.66.140.192/26,IPv4,AzureBackup.WestUS2,westus2
13.66.141.0/27,IPv4,AzureBackup.WestUS2,westus2
20.51.12.128/26,IPv4,AzureBackup.WestUS2,westus2
40.78.243.32/27,IPv4,AzureBackup.WestUS2,westus2
40.78.243.64/26,IPv4,AzureBackup.WestUS2,westus2
40.78.250.224/27,IPv4,AzureBackup.WestUS2,westus2
40.78.251.0/26,IPv4,AzureBackup.WestUS2,westus2
2603:1030:c06:400::a00/121,IPv6,AzureBackup.WestUS2,westus2
2603:1030:c06:802::180/121,IPv6,AzureBackup.WestUS2,westus2
2603:1030:c06:c02::180/121,IPv6,AzureBackup.WestUS2,westus2
