ip_address,ip_type,service,region
13.67.153.16/28,IPv4,AzureCloud.centraluseuap,centraluseuap
13.67.154.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
13.104.129.0/26,IPv4,AzureCloud.centraluseuap,centraluseuap
13.104.159.192/26,IPv4,AzureCloud.centraluseuap,centraluseuap
13.104.208.0/26,IPv4,AzureCloud.centraluseuap,centraluseuap
13.105.98.208/28,IPv4,AzureCloud.centraluseuap,centraluseuap
13.105.99.0/26,IPv4,AzureCloud.centraluseuap,centraluseuap
20.33.212.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.45.192.0/18,IPv4,AzureCloud.centraluseuap,centraluseuap
20.46.0.0/19,IPv4,AzureCloud.centraluseuap,centraluseuap
20.47.5.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.47.105.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.51.24.0/21,IPv4,AzureCloud.centraluseuap,centraluseuap
20.60.24.0/23,IPv4,AzureCloud.centraluseuap,centraluseuap
20.112.128.0/19,IPv4,AzureCloud.centraluseuap,centraluseuap
20.135.68.0/23,IPv4,AzureCloud.centraluseuap,centraluseuap
20.150.23.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.150.47.0/25,IPv4,AzureCloud.centraluseuap,centraluseuap
20.157.96.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.157.235.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.190.138.128/25,IPv4,AzureCloud.centraluseuap,centraluseuap
20.190.150.0/24,IPv4,AzureCloud.centraluseuap,centraluseuap
20.209.124.0/23,IPv4,AzureCloud.centraluseuap,centraluseuap
20.228.0.0/18,IPv4,AzureCloud.centraluseuap,centraluseuap
40.64.175.0/25,IPv4,AzureCloud.centraluseuap,centraluseuap
40.66.120.0/21,IPv4,AzureCloud.centraluseuap,centraluseuap
40.78.200.0/21,IPv4,AzureCloud.centraluseuap,centraluseuap
